original_class,level1_group,level2_brand,level3_size,level4_model
911_2003_2019,기타 독일차,포르쉐,중형,911_2003_2019
마칸_2014_2018,기타 독일차,포르쉐,중형,마칸_2014_2018
마칸_2019_2021,기타 독일차,포르쉐,중형,마칸_2019_2021
마칸_2022_2024,기타 독일차,포르쉐,중형,마칸_2022_2024
카이엔_PO536_2019_2023,기타 독일차,포르쉐,대형,카이엔_PO536_2019_2023
뉴_카이엔_2011_2018,기타 독일차,포르쉐,대형,뉴_카이엔_2011_2018
파나메라_971_2017_2023,기타 독일차,포르쉐,대형,파나메라_971_2017_2023
파나메라_2010_2016,기타 독일차,포르쉐,대형,파나메라_2010_2016
타이칸_2021_2025,기타 독일차,포르쉐,대형,타이칸_2021_2025
2008_2015_2017,기타,푸조,소형,2008_2015_2017
3008_2세대_2018_2023,기타,푸조,중형,3008_2세대_2018_2023
5008_2세대_2018_2019,기타,푸조,중형,5008_2세대_2018_2019
5008_2세대_2021_2024,기타,푸조,중형,5008_2세대_2021_2024
A_클래스_W176_2015_2018,벤츠,벤츠,소형,A_클래스_W176_2015_2018
A_클래스_W177_2020_2025,벤츠,벤츠,소형,A_클래스_W177_2020_2025
B_클래스_W246_2013_2018,벤츠,벤츠,소형,B_클래스_W246_2013_2018
CLA_클래스_C117_2014_2019,벤츠,벤츠,소형,CLA_클래스_C117_2014_2019
CLA_클래스_C118_2020_2025,벤츠,벤츠,소형,CLA_클래스_C118_2020_2025
GLA_클래스_X156_2015_2019,벤츠,벤츠,소형,GLA_클래스_X156_2015_2019
GLA_클래스_H247_2020_2025,벤츠,벤츠,소형,GLA_클래스_H247_2020_2025
GLB_클래스_X247_2020_2023,벤츠,벤츠,소형,GLB_클래스_X247_2020_2023
C_클래스_W204_2008_2015,벤츠,벤츠,중형,C_클래스_W204_2008_2015
C_클래스_W205_2015_2021,벤츠,벤츠,중형,C_클래스_W205_2015_2021
C_클래스_W206_2022_2024,벤츠,벤츠,중형,C_클래스_W206_2022_2024
CLE_클래스_C236_2024_2025,벤츠,벤츠,중형,CLE_클래스_C236_2024_2025
EQA_H243_2021_2024,벤츠,벤츠,중형,EQA_H243_2021_2024
GLC_클래스_X253_2017_2019,벤츠,벤츠,중형,GLC_클래스_X253_2017_2019
GLC_클래스_X253_2020_2022,벤츠,벤츠,중형,GLC_클래스_X253_2020_2022
GLC_클래스_X253_2023,벤츠,벤츠,중형,GLC_클래스_X253_2023
GLC_클래스_X254_2023_2025,벤츠,벤츠,중형,GLC_클래스_X254_2023_2025
AMG_GT_2016_2024,벤츠,벤츠,대형,AMG_GT_2016_2024
CLS_클래스_C257_2019_2023,벤츠,벤츠,대형,CLS_클래스_C257_2019_2023
CLS_클래스_W218_2012_2017,벤츠,벤츠,대형,CLS_클래스_W218_2012_2017
E_클래스_W212_2010_2016,벤츠,벤츠,대형,E_클래스_W212_2010_2016
E_클래스_W213_2017_2020,벤츠,벤츠,대형,E_클래스_W213_2017_2020
E_클래스_W213_2021_2023,벤츠,벤츠,대형,E_클래스_W213_2021_2023
E_클래스_W214_2024_2025,벤츠,벤츠,대형,E_클래스_W214_2024_2025
EQE_V295_2022_2024,벤츠,벤츠,대형,EQE_V295_2022_2024
EQS_V297_2022_2023,벤츠,벤츠,대형,EQS_V297_2022_2023
G_클래스_W463_2009_2017,벤츠,벤츠,대형,G_클래스_W463_2009_2017
G_클래스_W463b_2019_2025,벤츠,벤츠,대형,G_클래스_W463b_2019_2025
GLE_클래스_W166_2016_2018,벤츠,벤츠,대형,GLE_클래스_W166_2016_2018
GLE_클래스_W167_2019_2024,벤츠,벤츠,대형,GLE_클래스_W167_2019_2024
GLS_클래스_X166_2017_2019,벤츠,벤츠,대형,GLS_클래스_X166_2017_2019
GLS_클래스_X167_2020_2024,벤츠,벤츠,대형,GLS_클래스_X167_2020_2024
S_클래스_W221_2006_2013,벤츠,벤츠,대형,S_클래스_W221_2006_2013
S_클래스_W222_2014_2020,벤츠,벤츠,대형,S_클래스_W222_2014_2020
S_클래스_W223_2021_2025,벤츠,벤츠,대형,S_클래스_W223_2021_2025
Q3_F3_2020_2024,기타 독일차,아우디,소형,Q3_F3_2020_2024
A4_B9_2016_2019,기타 독일차,아우디,중형,A4_B9_2016_2019
A4_B9_2020_2024,기타 독일차,아우디,중형,A4_B9_2020_2024
A5_F5_2019_2024,기타 독일차,아우디,중형,A5_F5_2019_2024
뉴_A6_2012_2014,기타 독일차,아우디,중형,뉴_A6_2012_2014
뉴_A6_2015_2018,기타 독일차,아우디,중형,뉴_A6_2015_2018
Q5_FY_2020,기타 독일차,아우디,중형,Q5_FY_2020
Q5_FY_2021_2024,기타 독일차,아우디,중형,Q5_FY_2021_2024
A6_C8_2019_2025,기타 독일차,아우디,대형,A6_C8_2019_2025
A7_4K_2020_2024,기타 독일차,아우디,대형,A7_4K_2020_2024
A7_2012_2016,기타 독일차,아우디,대형,A7_2012_2016
A8_D5_2018_2023,기타 독일차,아우디,대형,A8_D5_2018_2023
e_트론_2020_2023,기타 독일차,아우디,대형,e_트론_2020_2023
Q7_4M_2016_2019,기타 독일차,아우디,대형,Q7_4M_2016_2019
Q7_4M_2020_2023,기타 독일차,아우디,대형,Q7_4M_2020_2023
Q8_4M_2020_2025,기타 독일차,아우디,대형,Q8_4M_2020_2025
CT6_2016_2018,미국,캐딜락,중형,CT6_2016_2018
에스컬레이드_5세대_2021_2024,미국,캐딜락,대형,에스컬레이드_5세대_2021_2024
에스컬레이드_2015_2020,미국,캐딜락,대형,에스컬레이드_2015_2020
E_PACE_2018_2020,유럽 프리미엄,재규어,소형,E_PACE_2018_2020
XE_2016_2019,유럽 프리미엄,재규어,소형,XE_2016_2019
F_PACE_2017_2019,유럽 프리미엄,재규어,중형,F_PACE_2017_2019
New_XF_2012_2015,유럽 프리미엄,재규어,중형,New_XF_2012_2015
XF_X260_2016_2020,유럽 프리미엄,재규어,중형,XF_X260_2016_2020
XJ_8세대_2010_2019,유럽 프리미엄,재규어,대형,XJ_8세대_2010_2019
All_New_XJ_2016_2019,유럽 프리미엄,재규어,대형,All_New_XJ_2016_2019
캐스퍼_2022_2024,현대,현대,경차,캐스퍼_2022_2024
베뉴_2020_2024,현대,현대,소형,베뉴_2020_2024
엑센트_신형_2011_2019,현대,현대,소형,엑센트_신형_2011_2019
코나_2018_2020,현대,현대,소형,코나_2018_2020
코나_SX2_2023_2025,현대,현대,소형,코나_SX2_2023_2025
더_뉴_코나_2021_2023,현대,현대,소형,더_뉴_코나_2021_2023
디_올뉴코나_2023_2025,현대,현대,소형,디_올뉴코나_2023_2025
아반떼_MD_2011_2014,현대,현대,소형,아반떼_MD_2011_2014
더_뉴_아반떼_2014_2016,현대,현대,소형,더_뉴_아반떼_2014_2016
아반떼_AD_2016_2018,현대,현대,소형,아반떼_AD_2016_2018
더_뉴_아반떼_AD_2019_2020,현대,현대,소형,더_뉴_아반떼_AD_2019_2020
아반떼_CN7_2021_2023,현대,현대,소형,아반떼_CN7_2021_2023
더_뉴_아반떼_CN7_2023_2025,현대,현대,소형,더_뉴_아반떼_CN7_2023_2025
아반떼_하이브리드_CN7_2021_2023,현대,현대,소형,아반떼_하이브리드_CN7_2021_2023
아반떼_N_2022_2023,현대,현대,소형,아반떼_N_2022_2023
벨로스터_JS_2018_2020,현대,현대,소형,벨로스터_JS_2018_2020
디_올뉴니로_2022_2025,기아,현대,소형,디_올뉴니로_2022_2025
i30_PD_2017_2018,현대,현대,중형,i30_PD_2017_2018
YF쏘나타_2009_2012,현대,현대,중형,YF쏘나타_2009_2012
YF쏘나타_하이브리드_2011_2015,현대,현대,중형,YF쏘나타_하이브리드_2011_2015
LF_쏘나타_2015_2017,현대,현대,중형,LF_쏘나타_2015_2017
쏘나타_뉴_라이즈_2018_2019,현대,현대,중형,쏘나타_뉴_라이즈_2018_2019
쏘나타_DN8_2020_2023,현대,현대,중형,쏘나타_DN8_2020_2023
쏘나타_디_엣지_DN8_2024_2025,현대,현대,중형,쏘나타_디_엣지_DN8_2024_2025
아이오닉_하이브리드_2016_2019,현대,현대,중형,아이오닉_하이브리드_2016_2019
더_뉴_아이오닉_하이브리드_2020,현대,현대,중형,더_뉴_아이오닉_하이브리드_2020
아이오닉5_2022_2023,현대,현대,중형,아이오닉5_2022_2023
아이오닉6_2023_2025,현대,현대,중형,아이오닉6_2023_2025
올_뉴_투싼_TL_2016_2018,현대,현대,중형,올_뉴_투싼_TL_2016_2018
올_뉴_투싼_TL_2019_2020,현대,현대,중형,올_뉴_투싼_TL_2019_2020
투싼_NX4_2021_2023,현대,현대,중형,투싼_NX4_2021_2023
더_뉴_투싼_NX4_2023_2025,현대,현대,중형,더_뉴_투싼_NX4_2023_2025
더_올뉴투싼_하이브리드_2021_2023,현대,현대,중형,더_올뉴투싼_하이브리드_2021_2023
쏘렌토_4세대_2021_2023,현대,현대,중형,쏘렌토_4세대_2021_2023
더_뉴_싼타페_2021_2023,현대,현대,중형,더_뉴_싼타페_2021_2023
싼타페_더_프라임_2016_2018,현대,현대,중형,싼타페_더_프라임_2016_2018
싼타페_TM_2019_2020,현대,현대,중형,싼타페_TM_2019_2020
싼타페_MX5_2024_2025,현대,현대,중형,싼타페_MX5_2024_2025
디_올뉴싼타페_2024_2025,현대,현대,중형,디_올뉴싼타페_2024_2025
더_뉴_맥스크루즈_2016_2018,현대,현대,중형,더_뉴_맥스크루즈_2016_2018
넥쏘_2018_2024,현대,현대,중형,넥쏘_2018_2024
K5_3세대_하이브리드_2020_2022,기아,현대,중형,K5_3세대_하이브리드_2020_2022
그랜저TG_2007_2008,현대,현대,대형,그랜저TG_2007_2008
그랜저_HG_2011_2014,현대,현대,대형,그랜저_HG_2011_2014
그랜저_HG_2015_2017,현대,현대,대형,그랜저_HG_2015_2017
그랜저_IG_2017_2019,현대,현대,대형,그랜저_IG_2017_2019
더_뉴_그랜저_IG_2020_2023,현대,현대,대형,더_뉴_그랜저_IG_2020_2023
그랜저_GN7_2023_2025,현대,현대,대형,그랜저_GN7_2023_2025
디_올뉴그랜저_2023_2025,현대,현대,대형,디_올뉴그랜저_2023_2025
아슬란_2015_2018,현대,현대,대형,아슬란_2015_2018
에쿠스_신형_2010_2015,현대,현대,대형,에쿠스_신형_2010_2015
팰리세이드_2019_2022,현대,현대,대형,팰리세이드_2019_2022
더_뉴_팰리세이드_2023_2024,현대,현대,대형,더_뉴_팰리세이드_2023_2024
팰리세이드_LX3_2025,현대,현대,대형,팰리세이드_LX3_2025
그랜드_스타렉스_2016_2018,현대,현대,대형,그랜드_스타렉스_2016_2018
더_뉴_그랜드_스타렉스_2018_2021,현대,현대,대형,더_뉴_그랜드_스타렉스_2018_2021
스타리아_2022_2025,현대,현대,대형,스타리아_2022_2025
더_올뉴G80_2021_2024,현대,현대,대형,더_올뉴G80_2021_2024
G70_2018_2020,제네시스,제네시스,중형,G70_2018_2020
더_뉴_G70_2021_2025,제네시스,제네시스,중형,더_뉴_G70_2021_2025
GV70_2021_2023,제네시스,제네시스,중형,GV70_2021_2023
일렉트리파이드_GV70_2022_2024,제네시스,제네시스,중형,일렉트리파이드_GV70_2022_2024
제네시스_DH_2014_2016,제네시스,제네시스,대형,제네시스_DH_2014_2016
EQ900_2016_2018,제네시스,제네시스,대형,EQ900_2016_2018
G80_2017_2020,제네시스,제네시스,대형,G80_2017_2020
G80_RG3_2021_2023,제네시스,제네시스,대형,G80_RG3_2021_2023
G80_RG3_2025,제네시스,제네시스,대형,G80_RG3_2025
뉴_G80_2025_2026,제네시스,제네시스,대형,뉴_G80_2025_2026
G90_2019_2022,제네시스,제네시스,대형,G90_2019_2022
G90_RS4_2022_2025,제네시스,제네시스,대형,G90_RS4_2022_2025
GV80_2020_2022,제네시스,제네시스,대형,GV80_2020_2022
GV80_2024_2025,제네시스,제네시스,대형,GV80_2024_2025
뉴_GV80_2024_2025,제네시스,제네시스,대형,뉴_GV80_2024_2025
UX250h_2019_2024,일본/프랑스,렉서스,소형,UX250h_2019_2024
뉴_ES300h_2013_2015,일본/프랑스,렉서스,중형,뉴_ES300h_2013_2015
뉴_ES300h_2016_2018,일본/프랑스,렉서스,중형,뉴_ES300h_2016_2018
ES300h_7세대_2019_2026,일본/프랑스,렉서스,중형,ES300h_7세대_2019_2026
올_뉴_모닝_2012_2015,기아,기아,경차,올_뉴_모닝_2012_2015
더_뉴_모닝_2015_2016,기아,기아,경차,더_뉴_모닝_2015_2016
올_뉴_모닝_JA_2017_2020,기아,기아,경차,올_뉴_모닝_JA_2017_2020
모닝_어반_JA_2021_2023,기아,기아,경차,모닝_어반_JA_2021_2023
더_뉴_모닝_JA_2024_2025,기아,기아,경차,더_뉴_모닝_JA_2024_2025
레이_2012_2017,기아,기아,경차,레이_2012_2017
더_뉴_레이_2018_2022,기아,기아,경차,더_뉴_레이_2018_2022
더_뉴_기아_레이_2022_2025,기아,기아,경차,더_뉴_기아_레이_2022_2025
더_기아_레이_EV_2024_2025,기아,기아,경차,더_기아_레이_EV_2024_2025
K3_2013_2015,기아,기아,소형,K3_2013_2015
올_뉴_K3_2019_2021,기아,기아,소형,올_뉴_K3_2019_2021
더_뉴_K3_2016_2018,기아,기아,소형,더_뉴_K3_2016_2018
더_뉴_K3_2세대_2022_2024,기아,기아,소형,더_뉴_K3_2세대_2022_2024
스토닉_2018_2020,기아,기아,소형,스토닉_2018_2020
셀토스_2020_2023,기아,기아,소형,셀토스_2020_2023
더_뉴_셀토스_2023_2025,기아,기아,소형,더_뉴_셀토스_2023_2025
K5_2세대_2016_2018,기아,기아,중형,K5_2세대_2016_2018
더_뉴_K5_2세대_2019_2020,기아,기아,중형,더_뉴_K5_2세대_2019_2020
K5_3세대_2020_2023,기아,기아,중형,K5_3세대_2020_2023
더_뉴_K5_3세대_2024_2025,기아,기아,중형,더_뉴_K5_3세대_2024_2025
K5_하이브리드_3세대_2020_2023,기아,기아,중형,K5_하이브리드_3세대_2020_2023
더_뉴_K5_하이브리드_3세대_2023_2025,기아,기아,중형,더_뉴_K5_하이브리드_3세대_2023_2025
니로_2017_2019,기아,기아,중형,니로_2017_2019
더_뉴_니로_2020_2022,기아,기아,중형,더_뉴_니로_2020_2022
디_올_뉴_니로_2022_2025,기아,기아,중형,디_올_뉴_니로_2022_2025
디_올뉴니로EV_2023_2024,기아,기아,중형,디_올뉴니로EV_2023_2024
스포티지_4세대_2016_2018,기아,기아,중형,스포티지_4세대_2016_2018
더_뉴스포티지R_2014_2016,기아,기아,중형,더_뉴스포티지R_2014_2016
스포티지_더_볼드_2019_2022,기아,기아,중형,스포티지_더_볼드_2019_2022
스포티지_5세대_2022_2024,기아,기아,중형,스포티지_5세대_2022_2024
디_올_뉴_스포티지_2022_2024,기아,기아,중형,디_올_뉴_스포티지_2022_2024
올_뉴_쏘렌토_2015_2017,기아,기아,중형,올_뉴_쏘렌토_2015_2017
더_뉴_쏘렌토_2018_2020,기아,기아,중형,더_뉴_쏘렌토_2018_2020
더_뉴_쏘렌토_4세대_2024_2025,기아,기아,중형,더_뉴_쏘렌토_4세대_2024_2025
쏘렌토_4세대_2021_2023,현대,기아,중형,쏘렌토_4세대_2021_2023
스팅어_2018_2020,기아,기아,중형,스팅어_2018_2020
스팅어_마이스터_2021_2023,기아,기아,중형,스팅어_마이스터_2021_2023
EV6_2022_2024,기아,기아,중형,EV6_2022_2024
올_뉴_K7_2016_2019,기아,기아,대형,올_뉴_K7_2016_2019
더_뉴_K7_2013_2016,기아,기아,대형,더_뉴_K7_2013_2016
올_뉴_K7_하이브리드_2017_2019,기아,기아,대형,올_뉴_K7_하이브리드_2017_2019
K7_프리미어_2020_2021,기아,기아,대형,K7_프리미어_2020_2021
K7_프리미어_하이브리드_2020_2021,기아,기아,대형,K7_프리미어_하이브리드_2020_2021
K8_2022_2024,기아,기아,대형,K8_2022_2024
K8_하이브리드_2022_2024,기아,기아,대형,K8_하이브리드_2022_2024
더_뉴_K9_2세대_2022_2025,기아,기아,대형,더_뉴_K9_2세대_2022_2025
더_K9_2019_2021,기아,기아,대형,더_K9_2019_2021
올_뉴_카니발_2015_2019,기아,기아,대형,올_뉴_카니발_2015_2019
더_뉴_카니발_2019_2020,기아,기아,대형,더_뉴_카니발_2019_2020
카니발_4세대_2021,기아,기아,대형,카니발_4세대_2021
카니발_4세대_2022_2023,기아,기아,대형,카니발_4세대_2022_2023
더_뉴_카니발_4세대_2024_2025,기아,기아,대형,더_뉴_카니발_4세대_2024_2025
그랜드카니발_2006_2010,기아,기아,대형,그랜드카니발_2006_2010
뉴쏘렌토_R_2013_2014,기아,기아,대형,뉴쏘렌토_R_2013_2014
더_뉴_모하비_2017_2019,기아,기아,대형,더_뉴_모하비_2017_2019
모하비_더_마스터_2020_2024,기아,기아,대형,모하비_더_마스터_2020_2024
EV9_2024_2025,기아,기아,대형,EV9_2024_2025
몬데오_4세대_2015_2020,미국,포드,중형,몬데오_4세대_2015_2020
머스탱_2015_2023,미국,포드,중형,머스탱_2015_2023
F150_2004_2021,미국,포드,대형,F150_2004_2021
익스플로러_2016_2017,미국,포드,대형,익스플로러_2016_2017
익스플로러_2018_2019,미국,포드,대형,익스플로러_2018_2019
익스플로러_6세대_2020_2025,미국,포드,대형,익스플로러_6세대_2020_2025
코세어_2020_2022,미국,링컨,소형,코세어_2020_2022
MKC_2015_2018,미국,링컨,중형,MKC_2015_2018
뉴_MKZ_2017_2020,미국,링컨,중형,뉴_MKZ_2017_2020
컨티넨탈_10세대_2017_2019,미국,링컨,대형,컨티넨탈_10세대_2017_2019
에비에이터_2세대_2020_2025,미국,링컨,대형,에비에이터_2세대_2020_2025
Q30_2017_2019,일본/프랑스,인피니티,소형,Q30_2017_2019
Q50_2014_2017,일본/프랑스,인피니티,중형,Q50_2014_2017
QM3_2014_2017,일본/프랑스,르노삼성,소형,QM3_2014_2017
뉴QM3_2018_2019,일본/프랑스,르노삼성,소형,뉴QM3_2018_2019
SM3_네오_2015_2019,일본/프랑스,르노삼성,중형,SM3_네오_2015_2019
SM5_노바_2015_2019,일본/프랑스,르노삼성,중형,SM5_노바_2015_2019
뉴_SM5_임프레션_2008_2010,일본/프랑스,르노삼성,중형,뉴_SM5_임프레션_2008_2010
뉴_SM5_플래티넘_2013_2014,일본/프랑스,르노삼성,중형,뉴_SM5_플래티넘_2013_2014
SM6_2016_2020,일본/프랑스,르노삼성,중형,SM6_2016_2020
더_뉴_SM6_2021_2024,일본/프랑스,르노삼성,중형,더_뉴_SM6_2021_2024
XM3_2020_2023,일본/프랑스,르노삼성,중형,XM3_2020_2023
XM3_2024,일본/프랑스,르노삼성,중형,XM3_2024
뉴_QM5_2012_2014,일본/프랑스,르노삼성,중형,뉴_QM5_2012_2014
뉴_QM6_2021_2023,일본/프랑스,르노삼성,중형,뉴_QM6_2021_2023
SM7_노바_2015_2019,일본/프랑스,르노삼성,대형,SM7_노바_2015_2019
SM7_뉴아트_2008_2011,일본/프랑스,르노삼성,대형,SM7_뉴아트_2008_2011
QM6_2017_2019,일본/프랑스,르노삼성,대형,QM6_2017_2019
더_뉴_QM6_2020_2023,일본/프랑스,르노삼성,대형,더_뉴_QM6_2020_2023
더_뉴_QM6_2024_2025,일본/프랑스,르노삼성,대형,더_뉴_QM6_2024_2025
그랑_콜레오스_2025,일본/프랑스,르노삼성,대형,그랑_콜레오스_2025
QX60_2016_2018,일본/프랑스,르노삼성,대형,QX60_2016_2018
프리우스_C_2018_2020,일본/프랑스,토요타,소형,프리우스_C_2018_2020
캠리_XV70_2018_2024,일본/프랑스,토요타,중형,캠리_XV70_2018_2024
프리우스_4세대_2016_2018,일본/프랑스,토요타,중형,프리우스_4세대_2016_2018
프리우스_4세대_2019_2022,일본/프랑스,토요타,중형,프리우스_4세대_2019_2022
라브4_4세대_2013_2018,일본/프랑스,토요타,중형,라브4_4세대_2013_2018
RAV4_2016_2018,일본/프랑스,토요타,중형,RAV4_2016_2018
RAV4_5세대_2019_2024,일본/프랑스,토요타,중형,RAV4_5세대_2019_2024
라브4_5세대_2019_2024,일본/프랑스,토요타,중형,라브4_5세대_2019_2024
시에나_4세대_2021_2024,일본/프랑스,토요타,대형,시에나_4세대_2021_2024
V40_2015_2018,유럽 프리미엄,볼보,소형,V40_2015_2018
XC40_2019_2022,유럽 프리미엄,볼보,소형,XC40_2019_2022
S60_3세대_2020_2024,유럽 프리미엄,볼보,중형,S60_3세대_2020_2024
V60_크로스컨트리_2세대_2020_2025,유럽 프리미엄,볼보,중형,V60_크로스컨트리_2세대_2020_2025
XC60_2세대_2018_2021,유럽 프리미엄,볼보,중형,XC60_2세대_2018_2021
XC60_2세대_2022_2025,유럽 프리미엄,볼보,중형,XC60_2세대_2022_2025
S90_2017_2020,유럽 프리미엄,볼보,대형,S90_2017_2020
S90_2021_2025,유럽 프리미엄,볼보,대형,S90_2021_2025
V90_크로스컨트리_2018_2024,유럽 프리미엄,볼보,대형,V90_크로스컨트리_2018_2024
XC90_2세대_2017_2019,유럽 프리미엄,볼보,대형,XC90_2세대_2017_2019
XC90_2세대_2020_2025,유럽 프리미엄,볼보,대형,XC90_2세대_2020_2025
골프_7세대_2013_2016,기타 독일차,폭스바겐,소형,골프_7세대_2013_2016
뉴_제타_2011_2016,기타 독일차,폭스바겐,소형,뉴_제타_2011_2016
뉴_티구안_2012_2016,기타 독일차,폭스바겐,중형,뉴_티구안_2012_2016
티구안_올스페이스_2018_2023,기타 독일차,폭스바겐,중형,티구안_올스페이스_2018_2023
파사트_GT_B8_2018_2022,기타 독일차,폭스바겐,중형,파사트_GT_B8_2018_2022
더_뉴_파사트_2012_2019,기타 독일차,폭스바겐,중형,더_뉴_파사트_2012_2019
아테온_2018_2023,기타 독일차,폭스바겐,중형,아테온_2018_2023
뉴_CC_2012_2016,기타 독일차,폭스바겐,중형,뉴_CC_2012_2016
투아렉_3세대_2020_2023,기타 독일차,폭스바겐,대형,투아렉_3세대_2020_2023
레니게이드_2015_2017,미국,Jeep,소형,레니게이드_2015_2017
레니게이드_2019_2023,미국,Jeep,소형,레니게이드_2019_2023
컴패스_2세대_2018_2022,미국,Jeep,중형,컴패스_2세대_2018_2022
체로키_KL_2019_2023,미국,Jeep,중형,체로키_KL_2019_2023
랭글러_JK_2009_2017,미국,Jeep,대형,랭글러_JK_2009_2017
랭글러_JL_2018_2024,미국,Jeep,대형,랭글러_JL_2018_2024
그랜드_체로키_2014_2020,미국,Jeep,대형,그랜드_체로키_2014_2020
그랜드_체로키_WL_2021_2023,미국,Jeep,대형,그랜드_체로키_WL_2021_2023
글래디에이터_JT_2020_2023,미국,Jeep,대형,글래디에이터_JT_2020_2023
기블리_2014_2023,유럽 프리미엄,마세라티,중형,기블리_2014_2023
르반떼_2017_2022,유럽 프리미엄,마세라티,대형,르반떼_2017_2022
콰트로포르테_2014_2016,유럽 프리미엄,마세라티,대형,콰트로포르테_2014_2016
콰트로포르테_2017_2022,유럽 프리미엄,마세라티,대형,콰트로포르테_2017_2022
티볼리_2015_2018,기타,쌍용,소형,티볼리_2015_2018
티볼리_아머_2018_2019,기타,쌍용,소형,티볼리_아머_2018_2019
베리_뉴_티볼리_2020_2023,기타,쌍용,소형,베리_뉴_티볼리_2020_2023
티볼리_에어_2016_2019,기타,쌍용,소형,티볼리_에어_2016_2019
티볼리_에어_2021_2022,기타,쌍용,소형,티볼리_에어_2021_2022
뉴_스타일_코란도_C_2017_2019,기타,쌍용,중형,뉴_스타일_코란도_C_2017_2019
뷰티풀_코란도_2019_2024,기타,쌍용,중형,뷰티풀_코란도_2019_2024
