original_class,brand,new_group
아슬란_2015_2018,현대,현대
아이오닉_하이브리드_2016_2019,현대,현대
아이오닉5_2022_2023,현대,현대
아이오닉6_2023_2025,현대,현대
에쿠스_신형_2010_2015,현대,현대
엑센트_신형_2011_2019,현대,현대
올_뉴_투싼_TL_2016_2018,현대,현대
올_뉴_투싼_TL_2019_2020,현대,현대
캐스퍼_2022_2024,현대,현대
코나_2018_2020,현대,현대
코나_SX2_2023_2025,현대,현대
투싼_NX4_2021_2023,현대,현대
팰리세이드_2019_2022,현대,현대
팰리세이드_LX3_2025,현대,현대
제네시스_DH_2014_2016,제네시스,제네시스
뉴_G80_2025_2026,제네시스,제네시스
뉴_GV80_2024_2025,제네시스,제네시스
더_뉴_G70_2021_2025,제네시스,제네시스
EQ900_2016_2018,제네시스,제네시스
G70_2018_2020,제네시스,제네시스
G80_2017_2020,제네시스,제네시스
G80_RG3_2021_2023,제네시스,제네시스
G80_RG3_2025,제네시스,제네시스
G90_2019_2022,제네시스,제네시스
G90_RS4_2022_2025,제네시스,제네시스
GV70_2021_2023,제네시스,제네시스
GV80_2020_2022,제네시스,제네시스
GV80_2024_2025,제네시스,제네시스
일렉트리파이드_GV70_2022_2024,제네시스,제네시스
ES300h_7세대_2019_2026,렉서스,일본/프랑스
UX250h_2019_2024,렉서스,일본/프랑스
뉴_ES300h_2013_2015,렉서스,일본/프랑스
뉴_ES300h_2016_2018,렉서스,일본/프랑스
EV6_2022_2024,기아,기아
EV9_2024_2025,기아,기아
K3_2013_2015,기아,기아
K5_2세대_2016_2018,기아,기아
K5_3세대_2020_2023,기아,기아
K5_3세대_하이브리드_2020_2022,기아,기아
K5_하이브리드_3세대_2020_2023,기아,기아
K7_프리미어_2020_2021,기아,기아
K7_프리미어_하이브리드_2020_2021,기아,기아
K8_2022_2024,기아,기아
K8_하이브리드_2022_2024,기아,기아
그랜드카니발_2006_2010,기아,기아
뉴쏘렌토_R_2013_2014,기아,기아
니로_2017_2019,기아,기아
더_K9_2019_2021,기아,기아
더_기아_레이_EV_2024_2025,기아,기아
더_뉴_K3_2세대_2022_2024,기아,기아
더_뉴_K3_2016_2018,기아,기아
더_뉴_K5_2세대_2019_2020,기아,기아
더_뉴_K5_3세대_2024_2025,기아,기아
더_뉴_K5_하이브리드_3세대_2023_2025,기아,기아
더_뉴_K7_2013_2016,기아,기아
더_뉴_K9_2세대_2022_2025,기아,기아
더_뉴_기아_레이_2022_2025,기아,기아
더_뉴_니로_2020_2022,기아,기아
더_뉴_레이_2018_2022,기아,기아
더_뉴_모닝_2015_2016,기아,기아
더_뉴_모닝_JA_2024_2025,기아,기아
더_뉴_모하비_2017_2019,기아,기아
더_뉴_셀토스_2023_2025,기아,기아
더_뉴_쏘렌토_4세대_2024_2025,기아,기아
더_뉴_쏘렌토_2018_2020,기아,기아
더_뉴_카니발_4세대_2024_2025,기아,기아
더_뉴_카니발_2019_2020,기아,기아
더_뉴스포티지R_2014_2016,기아,기아
디_올_뉴_니로_2022_2025,기아,기아
디_올_뉴_스포티지_2022_2024,기아,기아
디_올뉴니로_2022_2025,기아,기아
디_올뉴니로EV_2023_2024,기아,기아
레이_2012_2017,기아,기아
모닝_어반_JA_2021_2023,기아,기아
모하비_더_마스터_2020_2024,기아,기아
셀토스_2020_2023,기아,기아
스토닉_2018_2020,기아,기아
스팅어_2018_2020,기아,기아
스팅어_마이스터_2021_2023,기아,기아
스포티지_4세대_2016_2018,기아,기아
스포티지_5세대_2022_2024,기아,기아
스포티지_더_볼드_2019_2022,기아,기아
올_뉴_K3_2019_2021,기아,기아
올_뉴_K7_2016_2019,기아,기아
올_뉴_K7_하이브리드_2017_2019,기아,기아
올_뉴_모닝_2012_2015,기아,기아
올_뉴_모닝_JA_2017_2020,기아,기아
올_뉴_쏘렌토_2015_2017,기아,기아
올_뉴_카니발_2015_2019,기아,기아
카니발_4세대_2021,기아,기아
카니발_4세대_2022_2023,기아,기아
F150_2004_2021,포드,미국
머스탱_2015_2023,포드,미국
몬데오_4세대_2015_2020,포드,미국
익스플로러_6세대_2020_2025,포드,미국
익스플로러_2016_2017,포드,미국
익스플로러_2018_2019,포드,미국
MKC_2015_2018,링컨,미국
뉴_MKZ_2017_2020,링컨,미국
에비에이터_2세대_2020_2025,링컨,미국
컨티넨탈_10세대_2017_2019,링컨,미국
코세어_2020_2022,링컨,미국
Q30_2017_2019,인피니티,일본/프랑스
Q50_2014_2017,인피니티,일본/프랑스
QM3_2014_2017,르노삼성,일본/프랑스
QM6_2017_2019,르노삼성,일본/프랑스
QX60_2016_2018,르노삼성,일본/프랑스
SM3_네오_2015_2019,르노삼성,일본/프랑스
SM5_노바_2015_2019,르노삼성,일본/프랑스
SM6_2016_2020,르노삼성,일본/프랑스
SM7_노바_2015_2019,르노삼성,일본/프랑스
SM7_뉴아트_2008_2011,르노삼성,일본/프랑스
XM3_2020_2023,르노삼성,일본/프랑스
XM3_2024,르노삼성,일본/프랑스
그랑_콜레오스_2025,르노삼성,일본/프랑스
뉴_QM5_2012_2014,르노삼성,일본/프랑스
뉴_QM6_2021_2023,르노삼성,일본/프랑스
뉴_SM5_임프레션_2008_2010,르노삼성,일본/프랑스
뉴_SM5_플래티넘_2013_2014,르노삼성,일본/프랑스
뉴QM3_2018_2019,르노삼성,일본/프랑스
더_뉴_QM6_2020_2023,르노삼성,일본/프랑스
더_뉴_QM6_2024_2025,르노삼성,일본/프랑스
더_뉴_SM6_2021_2024,르노삼성,일본/프랑스
RAV4_5세대_2019_2024,토요타,일본/프랑스
RAV4_2016_2018,토요타,일본/프랑스
라브4_4세대_2013_2018,토요타,일본/프랑스
라브4_5세대_2019_2024,토요타,일본/프랑스
시에나_4세대_2021_2024,토요타,일본/프랑스
캠리_XV70_2018_2024,토요타,일본/프랑스
프리우스_4세대_2016_2018,토요타,일본/프랑스
프리우스_4세대_2019_2022,토요타,일본/프랑스
프리우스_C_2018_2020,토요타,일본/프랑스
S60_3세대_2020_2024,볼보,유럽 프리미엄
S90_2017_2020,볼보,유럽 프리미엄
S90_2021_2025,볼보,유럽 프리미엄
V40_2015_2018,볼보,유럽 프리미엄
V60_크로스컨트리_2세대_2020_2025,볼보,유럽 프리미엄
V90_크로스컨트리_2018_2024,볼보,유럽 프리미엄
XC40_2019_2022,볼보,유럽 프리미엄
XC60_2세대_2018_2021,볼보,유럽 프리미엄
XC60_2세대_2022_2025,볼보,유럽 프리미엄
XC90_2세대_2017_2019,볼보,유럽 프리미엄
XC90_2세대_2020_2025,볼보,유럽 프리미엄
골프_7세대_2013_2016,폭스바겐,기타 독일차
뉴_CC_2012_2016,폭스바겐,기타 독일차
뉴_제타_2011_2016,폭스바겐,기타 독일차
뉴_티구안_2012_2016,폭스바겐,기타 독일차
더_뉴_파사트_2012_2019,폭스바겐,기타 독일차
아테온_2018_2023,폭스바겐,기타 독일차
투아렉_3세대_2020_2023,폭스바겐,기타 독일차
티구안_올스페이스_2018_2023,폭스바겐,기타 독일차
파사트_GT_B8_2018_2022,폭스바겐,기타 독일차
그랜드_체로키_2014_2020,jeep,미국
그랜드_체로키_WL_2021_2023,jeep,미국
글래디에이터_JT_2020_2023,jeep,미국
랭글러_JK_2009_2017,jeep,미국
랭글러_JL_2018_2024,jeep,미국
레니게이드_2015_2017,jeep,미국
레니게이드_2019_2023,jeep,미국
체로키_KL_2019_2023,jeep,미국
컴패스_2세대_2018_2022,jeep,미국
기블리_2014_2023,마세라티,유럽 프리미엄
르반떼_2017_2022,마세라티,유럽 프리미엄
콰트로포르테_2014_2016,마세라티,유럽 프리미엄
콰트로포르테_2017_2022,마세라티,유럽 프리미엄
뉴_스타일_코란도_C_2017_2019,쌍용,기타
뉴_체어맨_W_2012_2016,쌍용,기타
G4_렉스턴_2018_2020,쌍용,기타
더_뉴_렉스턴_스포츠_2021_2025,쌍용,기타
더_뉴_렉스턴_스포츠_칸_2021_2025,쌍용,기타
더_뉴_코란도_스포츠_2016_2018,쌍용,기타
렉스턴_스포츠_2018_2021,쌍용,기타
렉스턴_스포츠_칸_2019_2020,쌍용,기타
베리_뉴_티볼리_2020_2023,쌍용,기타
뷰티풀_코란도_2019_2024,쌍용,기타
올_뉴_렉스턴_2021_2025,쌍용,기타
티볼리_2015_2018,쌍용,기타
티볼리_아머_2018_2019,쌍용,기타
티볼리_에어_2016_2019,쌍용,기타
티볼리_에어_2021_2022,쌍용,기타
액티언_2세대_2025,쌍용,기타
토레스_2023_2025,쌍용,기타
더_넥스트_스파크_2016_2018,쉐보레,미국
더_뉴_말리부_2019_2022,쉐보레,미국
더_뉴_스파크_2019_2022,쉐보레,미국
더_뉴_트랙스_2017_2022,쉐보레,미국
리얼_뉴_콜로라도_2021_2022,쉐보레,미국
말리부_2012_2016,쉐보레,미국
스파크_2012_2015,쉐보레,미국
아베오_2012_2016,쉐보레,미국
올_뉴_말리부_2017_2018,쉐보레,미국
올_뉴_카마로_2017_2018,쉐보레,미국
올란도_2012_2018,쉐보레,미국
임팔라_2016_2019,쉐보레,미국
콜로라도_2020_2020,쉐보레,미국
트래버스_2020_2023,쉐보레,미국
트랙스_2013_2016,쉐보레,미국
트랙스_크로스오버_2024_2025,쉐보레,미국
트레일블레이저_2021_2022,쉐보레,미국
트레일블레이저_2023,쉐보레,미국
디펜더_L663_2020_2025,렌드로버,유럽 프리미엄
레인지로버_4세대_2014_2017,렌드로버,유럽 프리미엄
레인지로버_4세대_2018_2022,렌드로버,유럽 프리미엄
레인지로버_5세대_2023_2024,렌드로버,유럽 프리미엄
레인지로버_벨라_2018_2019,렌드로버,유럽 프리미엄
레인지로버_스포츠_2세대_2013_2017,렌드로버,유럽 프리미엄
레인지로버_스포츠_2세대_2018_2022,렌드로버,유럽 프리미엄
레인지로버_이보크_2세대_2020_2022,렌드로버,유럽 프리미엄
레인지로버_이보크_2세대_2023_2024,렌드로버,유럽 프리미엄
레인지로버_이보크_2016_2019,렌드로버,유럽 프리미엄
디스커버리_4_2010_2016,렌드로버,유럽 프리미엄
디스커버리_5_2017_2020,렌드로버,유럽 프리미엄
디스커버리_5_2022_2024,렌드로버,유럽 프리미엄
디스커버리_스포츠_2세대_2020_2025,렌드로버,유럽 프리미엄
디스커버리_스포츠_2015_2019,렌드로버,유럽 프리미엄
모델_3_2019_2022,테슬라,미국
모델_3_2024_2025,테슬라,미국
모델_Y_2021_2025,테슬라,미국
알티마_2017_2018,닛산,일본/프랑스
어코드_10세대_2018_2022,혼다,일본/프랑스
파일럿_3세대_2016_2018,혼다,일본/프랑스
컨티넨탈_GT_2세대_2012_2017,벤틀리,유럽 프리미엄
컨티넨탈_GT_3세대_2018_2023,벤틀리,유럽 프리미엄
쿠퍼_컨버터블_2016_2024,미니쿠페,기타 독일차
쿠퍼_컨트리맨_2012_2015,미니쿠페,기타 독일차
쿠퍼_컨트리맨_2016_2024,미니쿠페,기타 독일차
쿠퍼_클럽맨_2016_2024,미니쿠페,기타 독일차
