id,predicted_class,predicted_group,expected_group,consistent
TEST_00184,모닝_어반_JA_2021_2023,기아,기아,True
TEST_00185,Q30_2017_2019,일본/프랑스,일본/프랑스,True
TEST_00186,YF쏘나타_2009_2012,현대,현대,True
TEST_00187,더_뉴_그랜저_IG_2020_2023,현대,현대,True
TEST_00188,718_박스터_2017_2024,기타 독일차,기타 독일차,True
TEST_00189,All_New_XJ_2016_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00190,제네시스_DH_2014_2016,제네시스,제네시스,True
TEST_00191,E_클래스_W214_2024_2025,벤츠,벤츠,True
TEST_00192,박스터_718_2017_2024,기타 독일차,기타 독일차,True
TEST_00193,뷰티풀_코란도_2019_2024,기타,기타,True
TEST_00194,5008_2세대_2018_2019,기타,기타,True
TEST_00195,티볼리_아머_2018_2019,기타,기타,True
TEST_00196,렉스턴_스포츠_2018_2021,기타,기타,True
TEST_00197,쿠퍼_클럽맨_2016_2024,기타 독일차,기타 독일차,True
TEST_00198,마칸_2022_2024,기타 독일차,기타 독일차,True
TEST_00199,5시리즈_GT_F07_2010_2017,BMW,BMW,True
TEST_00200,ES300h_7세대_2019_2026,일본/프랑스,일본/프랑스,True
TEST_00201,B_클래스_W246_2013_2018,벤츠,벤츠,True
TEST_00202,스포티지_5세대_2022_2024,기아,기아,True
TEST_00203,GLA_클래스_X156_2015_2019,벤츠,벤츠,True
TEST_00204,올_뉴_렉스턴_2021_2025,기타,기타,True
TEST_00205,SM6_2016_2020,일본/프랑스,일본/프랑스,True
TEST_00206,CLS_클래스_C257_2019_2023,벤츠,벤츠,True
TEST_00207,스토닉_2018_2020,기아,기아,True
TEST_00208,컨티넨탈_10세대_2017_2019,미국,미국,True
TEST_00209,718_카이맨_2017_2024,기타 독일차,기타 독일차,True
TEST_00210,Q50_2014_2017,일본/프랑스,일본/프랑스,True
TEST_00211,뉴_카이엔_2011_2018,기타 독일차,기타 독일차,True
TEST_00212,익스플로러_6세대_2020_2025,미국,미국,True
TEST_00213,CLA_클래스_C118_2020_2025,벤츠,벤츠,True
TEST_00214,올_뉴_모닝_2012_2015,기아,기아,True
TEST_00215,쏘나타_DN8_2020_2023,현대,현대,True
TEST_00216,모닝_어반_JA_2021_2023,기아,기아,True
TEST_00217,더_뉴_투싼_NX4_2023_2025,현대,현대,True
TEST_00218,더_뉴_파사트_2012_2019,기타 독일차,기타 독일차,True
TEST_00219,X1_U11_2023_2024,BMW,BMW,True
TEST_00220,Q7_4M_2020_2023,기타 독일차,기타 독일차,True
TEST_00221,그랜드_체로키_WL_2021_2023,미국,미국,True
TEST_00222,더_뉴_K3_2세대_2022_2024,기아,기아,True
TEST_00223,익스플로러_2018_2019,미국,미국,True
TEST_00224,머스탱_2015_2023,미국,미국,True
TEST_00225,911_992_2020_2024,기타 독일차,기타 독일차,True
TEST_00226,GLB_클래스_X247_2020_2023,벤츠,벤츠,True
TEST_00227,컴패스_2세대_2018_2022,미국,미국,True
TEST_00228,올_뉴_K7_하이브리드_2017_2019,기아,기아,True
TEST_00229,아이오닉_하이브리드_2016_2019,현대,현대,True
TEST_00230,리얼_뉴_콜로라도_2021_2022,미국,미국,True
TEST_00231,글래디에이터_JT_2020_2023,미국,미국,True
TEST_00232,디_올뉴니로EV_2023_2024,기아,기아,True
TEST_00233,랭글러_JL_2018_2024,미국,미국,True
TEST_00234,X5_G05_2024_2025,BMW,BMW,True
TEST_00235,뉴_MKZ_2017_2020,미국,미국,True
TEST_00236,1시리즈_F20_2013_2015,BMW,BMW,True
TEST_00237,S_클래스_W223_2021_2025,현대,벤츠,False
TEST_00238,K3_2013_2015,기아,기아,True
TEST_00239,제네시스_DH_2014_2016,제네시스,제네시스,True
TEST_00240,K8_하이브리드_2022_2024,기아,기아,True
TEST_00241,뉴_GV80_2024_2025,제네시스,제네시스,True
TEST_00242,더_뉴_스파크_2019_2022,미국,미국,True
TEST_00243,EV6_2022_2024,기아,기아,True
TEST_00244,X1_F48_2016_2019,BMW,BMW,True
TEST_00245,트레일블레이저_2021_2022,미국,미국,True
TEST_00246,콰트로포르테_2014_2016,유럽 프리미엄,유럽 프리미엄,True
TEST_00247,그랜드_스타렉스_2016_2018,현대,현대,True
TEST_00248,스포티지_4세대_2016_2018,기아,기아,True
TEST_00249,더_뉴_K3_2016_2018,기아,기아,True
TEST_00250,베뉴_2020_2024,현대,현대,True
TEST_00251,5시리즈_F10_2010_2016,BMW,BMW,True
TEST_00252,그랜드카니발_2006_2010,기타 독일차,기아,False
TEST_00253,아이오닉6_2023_2025,현대,현대,True
TEST_00254,X4_G02_2019_2021,BMW,BMW,True
TEST_00255,GLS_클래스_X166_2017_2019,벤츠,벤츠,True
TEST_00256,K5_2세대_2016_2018,기아,기아,True
TEST_00257,7시리즈_G11_2016_2018,BMW,BMW,True
TEST_00258,S60_3세대_2020_2024,유럽 프리미엄,유럽 프리미엄,True
TEST_00259,XC90_2세대_2017_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00260,기블리_2014_2023,유럽 프리미엄,유럽 프리미엄,True
TEST_00261,디_올뉴니로_2022_2025,기아,기아,True
TEST_00262,GLC_클래스_X254_2023_2025,벤츠,벤츠,True
TEST_00263,디스커버리_5_2022_2024,유럽 프리미엄,유럽 프리미엄,True
TEST_00264,더_뉴_파사트_2012_2019,기타 독일차,기타 독일차,True
TEST_00265,CLA_클래스_C118_2020_2025,벤츠,벤츠,True
TEST_00266,그랜저_HG_2015_2017,현대,현대,True
TEST_00267,레니게이드_2019_2023,미국,미국,True
TEST_00268,YF쏘나타_하이브리드_2011_2015,현대,현대,True
TEST_00269,니로_2017_2019,기아,기아,True
TEST_00270,S90_2017_2020,유럽 프리미엄,유럽 프리미엄,True
TEST_00271,V60_크로스컨트리_2세대_2020_2025,유럽 프리미엄,유럽 프리미엄,True
TEST_00272,911_992_2020_2024,기타 독일차,기타 독일차,True
TEST_00273,더_뉴_아반떼_2014_2016,현대,현대,True
TEST_00274,팰리세이드_2019_2022,현대,현대,True
TEST_00275,뉴_A6_2012_2014,기타 독일차,기타 독일차,True
TEST_00276,프리우스_4세대_2019_2022,일본/프랑스,일본/프랑스,True
TEST_00277,A4_B9_2020_2024,기타 독일차,기타 독일차,True
TEST_00278,G80_RG3_2025,제네시스,제네시스,True
TEST_00279,올_뉴_카마로_2017_2018,미국,미국,True
TEST_00280,X1_U11_2023_2024,BMW,BMW,True
TEST_00281,쿠퍼_컨트리맨_2012_2015,기타 독일차,기타 독일차,True
TEST_00282,7시리즈_G70_2023_2025,BMW,BMW,True
TEST_00283,더_뉴_코나_2021_2023,현대,현대,True
TEST_00284,더_뉴_K9_2세대_2022_2025,기아,기아,True
TEST_00285,GLA_클래스_X156_2015_2019,벤츠,벤츠,True
TEST_00286,A7_2012_2016,기타 독일차,기타 독일차,True
TEST_00287,UX250h_2019_2024,일본/프랑스,일본/프랑스,True
TEST_00288,레인지로버_이보크_2016_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00289,S60_3세대_2020_2024,유럽 프리미엄,유럽 프리미엄,True
TEST_00290,QM3_2014_2017,일본/프랑스,일본/프랑스,True
TEST_00291,아테온_2018_2023,기타 독일차,기타 독일차,True
TEST_00292,뉴_A6_2012_2014,기타 독일차,기타 독일차,True
TEST_00293,X7_G07_2023_2025,BMW,BMW,True
TEST_00294,올_뉴_모닝_JA_2017_2020,기아,기아,True
TEST_00295,LF_쏘나타_2015_2017,현대,현대,True
TEST_00296,CLE_클래스_C236_2024_2025,벤츠,벤츠,True
TEST_00297,시에나_4세대_2021_2024,일본/프랑스,일본/프랑스,True
TEST_00298,XC40_2019_2022,유럽 프리미엄,유럽 프리미엄,True
TEST_00299,뉴_G80_2025_2026,제네시스,제네시스,True
TEST_00300,A4_B9_2016_2019,기타 독일차,기타 독일차,True
TEST_00301,카이엔_PO536_2019_2023,기타 독일차,기타 독일차,True
TEST_00302,CLS_클래스_C257_2019_2023,벤츠,벤츠,True
TEST_00303,박스터_718_2017_2024,기타 독일차,기타 독일차,True
TEST_00304,G80_RG3_2025,제네시스,제네시스,True
TEST_00305,X6_G06_2020_2023,BMW,BMW,True
TEST_00306,올_뉴_모닝_2012_2015,기아,기아,True
TEST_00307,몬데오_4세대_2015_2020,제네시스,미국,False
TEST_00308,X4_F26_2015_2018,BMW,BMW,True
TEST_00309,X6_G06_2024_2025,BMW,BMW,True
TEST_00310,K8_2022_2024,기아,기아,True
TEST_00311,뉴_G80_2025_2026,제네시스,제네시스,True
TEST_00312,그랑_콜레오스_2025,일본/프랑스,일본/프랑스,True
TEST_00313,더_뉴_QM6_2020_2023,일본/프랑스,일본/프랑스,True
TEST_00314,벨로스터_JS_2018_2020,현대,현대,True
TEST_00315,뷰티풀_코란도_2019_2024,기타,기타,True
TEST_00316,투싼_NX4_2021_2023,현대,현대,True
TEST_00317,GLC_클래스_X253_2023,벤츠,벤츠,True
TEST_00318,더_뉴_싼타페_2021_2023,현대,현대,True
TEST_00319,i4_2022_2024,BMW,BMW,True
TEST_00320,CT6_2016_2018,미국,미국,True
TEST_00321,뉴쏘렌토_R_2013_2014,기아,기아,True
TEST_00322,SM5_노바_2015_2019,일본/프랑스,일본/프랑스,True
TEST_00323,모델_3_2019_2022,미국,미국,True
TEST_00324,스타리아_2022_2025,현대,현대,True
TEST_00325,6시리즈_GT_G32_2021_2024,BMW,BMW,True
TEST_00326,더_뉴_쏘렌토_2018_2020,기아,기아,True
TEST_00327,프리우스_4세대_2019_2022,일본/프랑스,일본/프랑스,True
TEST_00328,X2_F39_2018_2023,BMW,BMW,True
TEST_00329,i30_PD_2017_2018,현대,현대,True
TEST_00330,더_뉴_K9_2세대_2022_2025,기아,기아,True
TEST_00331,투싼_NX4_2021_2023,현대,현대,True
TEST_00332,쿠퍼_컨트리맨_2012_2015,기타 독일차,기타 독일차,True
TEST_00333,F_PACE_2017_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00334,더_뉴_아이오닉_하이브리드_2020,현대,현대,True
TEST_00335,K7_프리미어_하이브리드_2020_2021,기아,기아,True
TEST_00336,베리_뉴_티볼리_2020_2023,기타,기타,True
TEST_00337,레니게이드_2015_2017,미국,미국,True
TEST_00338,K7_프리미어_하이브리드_2020_2021,기아,기아,True
TEST_00339,더_뉴_니로_2020_2022,기아,기아,True
TEST_00340,컴패스_2세대_2018_2022,미국,미국,True
TEST_00341,뉴QM3_2018_2019,일본/프랑스,일본/프랑스,True
TEST_00342,코나_2018_2020,현대,현대,True
TEST_00343,르반떼_2017_2022,유럽 프리미엄,유럽 프리미엄,True
TEST_00344,디_올_뉴_니로_2022_2025,기아,기아,True
TEST_00345,에비에이터_2세대_2020_2025,미국,미국,True
TEST_00346,S_클래스_W223_2021_2025,벤츠,벤츠,True
TEST_00347,더_뉴_K3_2016_2018,기아,기아,True
TEST_00348,GLS_클래스_X167_2020_2024,벤츠,벤츠,True
TEST_00349,디_올뉴니로EV_2023_2024,기아,기아,True
TEST_00350,A4_B9_2020_2024,기타 독일차,기타 독일차,True
TEST_00351,스포티지_5세대_2022_2024,기아,기아,True
TEST_00352,3008_2세대_2018_2023,기타,기타,True
TEST_00353,더_뉴_쏘렌토_2018_2020,기아,기아,True
TEST_00354,G70_2018_2020,제네시스,제네시스,True
TEST_00355,XC60_2세대_2022_2025,유럽 프리미엄,유럽 프리미엄,True
TEST_00356,6시리즈_F12_2011_2018,BMW,BMW,True
TEST_00357,Q8_4M_2020_2025,기타 독일차,기타 독일차,True
TEST_00358,SM7_뉴아트_2008_2011,일본/프랑스,일본/프랑스,True
TEST_00359,쏘나타_디_엣지_DN8_2024_2025,현대,현대,True
TEST_00360,XE_2016_2019,유럽 프리미엄,유럽 프리미엄,True
TEST_00361,더_올뉴투싼_하이브리드_2021_2023,현대,현대,True
TEST_00362,레인지로버_4세대_2018_2022,유럽 프리미엄,유럽 프리미엄,True
TEST_00363,5008_2세대_2018_2019,기타,기타,True
TEST_00364,투싼_NX4_2021_2023,현대,현대,True
TEST_00365,아반떼_N_2022_2023,현대,현대,True
TEST_00366,코세어_2020_2022,미국,미국,True
TEST_00367,XM3_2024,일본/프랑스,일본/프랑스,True
TEST_00368,더_뉴_QM6_2020_2023,일본/프랑스,일본/프랑스,True
TEST_00369,EQ900_2016_2018,제네시스,제네시스,True
TEST_00370,더_뉴_쏘렌토_4세대_2024_2025,기아,기아,True
TEST_00371,K5_하이브리드_3세대_2020_2023,기아,기아,True
TEST_00372,더_K9_2019_2021,기아,기아,True
TEST_00373,카이엔_PO536_2019_2023,기타 독일차,기타 독일차,True
TEST_00374,뉴_A6_2015_2018,기타 독일차,기타 독일차,True
TEST_00375,5008_2세대_2018_2019,기타,기타,True
TEST_00376,뉴_GV80_2024_2025,제네시스,제네시스,True
TEST_00377,CLA_클래스_C117_2014_2019,벤츠,벤츠,True
TEST_00378,2008_2015_2017,기타,기타,True
TEST_00379,G80_RG3_2021_2023,제네시스,제네시스,True
TEST_00380,더_뉴_스파크_2019_2022,미국,미국,True
TEST_00381,파나메라_971_2017_2023,기타 독일차,기타 독일차,True
TEST_00382,어코드_10세대_2018_2022,일본/프랑스,일본/프랑스,True
TEST_00383,랭글러_JK_2009_2017,미국,미국,True
TEST_00384,GV80_2024_2025,제네시스,제네시스,True
TEST_00385,C_클래스_W204_2008_2015,벤츠,벤츠,True
TEST_00386,New_XF_2012_2015,유럽 프리미엄,유럽 프리미엄,True
TEST_00387,셀토스_2020_2023,기아,기아,True
TEST_00388,뉴_SM5_임프레션_2008_2010,일본/프랑스,일본/프랑스,True
TEST_00389,디_올뉴코나_2023_2025,현대,현대,True
TEST_00390,X5_G05_2019_2023,BMW,BMW,True
TEST_00391,더_뉴_아이오닉_하이브리드_2020,현대,현대,True
TEST_00392,콜로라도_2020_2020,미국,미국,True
TEST_00393,CLS_클래스_W218_2012_2017,벤츠,벤츠,True
TEST_00394,더_기아_레이_EV_2024_2025,기아,기아,True
TEST_00395,익스플로러_2016_2017,미국,미국,True
TEST_00396,Q50_2014_2017,일본/프랑스,일본/프랑스,True
TEST_00397,X4_G02_2019_2021,BMW,BMW,True
TEST_00398,더_뉴_모닝_JA_2024_2025,기아,기아,True
TEST_00399,MKC_2015_2018,미국,미국,True
TEST_00400,프리우스_C_2018_2020,일본/프랑스,일본/프랑스,True
TEST_00401,아반떼_하이브리드_CN7_2021_2023,현대,현대,True
TEST_00402,K8_2022_2024,기아,기아,True
TEST_00403,E_클래스_W213_2021_2023,벤츠,벤츠,True
TEST_00404,A7_4K_2020_2024,기타 독일차,기타 독일차,True
TEST_00405,그랜저_GN7_2023_2025,현대,현대,True
TEST_00406,3시리즈_F30_2013_2018,BMW,BMW,True
TEST_00407,718_박스터_2017_2024,기타 독일차,기타 독일차,True
TEST_00408,YF쏘나타_2009_2012,현대,현대,True
TEST_00409,CLS_클래스_W218_2012_2017,벤츠,벤츠,True
TEST_00410,더_뉴_SM6_2021_2024,일본/프랑스,일본/프랑스,True
TEST_00411,X1_F48_2016_2019,BMW,BMW,True
TEST_00412,i30_PD_2017_2018,현대,현대,True
TEST_00413,머스탱_2015_2023,미국,미국,True
TEST_00414,A_클래스_W176_2015_2018,벤츠,벤츠,True
TEST_00415,XC90_2세대_2020_2025,유럽 프리미엄,유럽 프리미엄,True
TEST_00416,뉴_MKZ_2017_2020,미국,미국,True
TEST_00417,F_PACE_2017_2019,유럽 프리미엄,유럽 프리미엄,True
