클래스명,이미지경로,RGB,색상범주,비율(%),총픽셀수
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0015.jpg,"(np.int64(172), np.int64(174), np.int64(184))",Silver,40.6,10492
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0016.jpg,"(np.int64(49), np.int64(48), np.int64(54))",Black,54.5,15104
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0017.jpg,"(np.int64(41), np.int64(40), np.int64(46))",Black,38.4,10836
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0018.jpg,"(np.int64(33), np.int64(36), np.int64(46))",Black,55.4,11060
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0019.jpg,"(np.int64(28), np.int64(31), np.int64(42))",Black,55.6,10694
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0020.jpg,"(np.int64(175), np.int64(179), np.int64(192))",Silver,39.7,10387
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0021.jpg,"(np.int64(170), np.int64(173), np.int64(185))",Silver,43.3,11730
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0022.jpg,"(np.int64(209), np.int64(213), np.int64(225))",White,40.6,9397
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0023.jpg,"(np.int64(187), np.int64(190), np.int64(203))",Silver,47.5,10226
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0024.jpg,"(np.int64(43), np.int64(37), np.int64(36))",Black,48.1,1394
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0025.jpg,"(np.int64(39), np.int64(21), np.int64(23))",Black,33.1,1886
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0026.jpg,"(np.int64(103), np.int64(119), np.int64(135))",Blue,34.8,17056
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0027.jpg,"(np.int64(44), np.int64(41), np.int64(51))",Black,30.2,8944
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0028.jpg,"(np.int64(84), np.int64(81), np.int64(89))",Gray,35.2,13923
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0029.jpg,"(np.int64(156), np.int64(155), np.int64(170))",Silver,31.1,11126
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0030.jpg,"(np.int64(132), np.int64(130), np.int64(143))",Gray,35.1,14051
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0031.jpg,"(np.int64(31), np.int64(40), np.int64(73))",Black,44.9,13130
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0032.jpg,"(np.int64(29), np.int64(37), np.int64(70))",Black,51.8,13754
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0033.jpg,"(np.int64(28), np.int64(36), np.int64(68))",Black,44.7,12308
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0034.jpg,"(np.int64(148), np.int64(151), np.int64(162))",Silver,44.8,9894
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0035.jpg,"(np.int64(33), np.int64(33), np.int64(38))",Black,47.0,2676
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0036.jpg,"(np.int64(41), np.int64(33), np.int64(38))",Black,56.1,2739
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0037.jpg,"(np.int64(186), np.int64(188), np.int64(201))",Silver,42.7,5573
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0038.jpg,"(np.int64(195), np.int64(198), np.int64(214))",Silver,41.3,9635
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0039.jpg,"(np.int64(29), np.int64(30), np.int64(40))",Black,47.8,8190
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0040.jpg,"(np.int64(26), np.int64(25), np.int64(35))",Black,42.4,7536
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0041.jpg,"(np.int64(36), np.int64(37), np.int64(38))",Black,57.3,2443
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0042.jpg,"(np.int64(41), np.int64(28), np.int64(31))",Black,37.9,3244
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0043.jpg,"(np.int64(36), np.int64(34), np.int64(35))",Black,44.8,2828
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0044.jpg,"(np.int64(51), np.int64(21), np.int64(22))",Black,45.7,2272
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0045.jpg,"(np.int64(157), np.int64(159), np.int64(170))",Silver,48.3,6990
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0046.jpg,"(np.int64(176), np.int64(177), np.int64(188))",Silver,54.1,7698
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0047.jpg,"(np.int64(158), np.int64(156), np.int64(158))",Silver,38.9,7738
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0048.jpg,"(np.int64(190), np.int64(192), np.int64(205))",Silver,36.0,9906
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0049.jpg,"(np.int64(192), np.int64(195), np.int64(207))",Silver,47.6,11596
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0050.jpg,"(np.int64(180), np.int64(183), np.int64(193))",Silver,40.0,7363
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0051.jpg,"(np.int64(199), np.int64(201), np.int64(213))",Silver,35.2,10015
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0052.jpg,"(np.int64(30), np.int64(28), np.int64(35))",Black,64.6,6851
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0053.jpg,"(np.int64(29), np.int64(27), np.int64(33))",Black,61.9,7078
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0054.jpg,"(np.int64(34), np.int64(27), np.int64(33))",Black,47.8,8141
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0055.jpg,"(np.int64(32), np.int64(29), np.int64(33))",Black,50.6,1476
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0056.jpg,"(np.int64(32), np.int64(27), np.int64(33))",Black,60.3,2763
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0057.jpg,"(np.int64(35), np.int64(30), np.int64(33))",Black,36.1,1995
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0058.jpg,"(np.int64(73), np.int64(78), np.int64(87))",Gray,41.5,9732
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0059.jpg,"(np.int64(39), np.int64(41), np.int64(44))",Black,38.8,13580
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0060.jpg,"(np.int64(45), np.int64(43), np.int64(48))",Black,39.6,8513
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0061.jpg,"(np.int64(70), np.int64(32), np.int64(33))",Black,44.0,15291
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0062.jpg,"(np.int64(69), np.int64(35), np.int64(34))",Black,37.3,10625
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0063.jpg,"(np.int64(112), np.int64(43), np.int64(37))",Red,32.4,14323
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0064.jpg,"(np.int64(156), np.int64(159), np.int64(171))",Silver,35.9,10108
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0065.jpg,"(np.int64(152), np.int64(154), np.int64(166))",Silver,35.4,13454
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0066.jpg,"(np.int64(197), np.int64(199), np.int64(211))",Silver,41.2,6937
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0067.jpg,"(np.int64(193), np.int64(196), np.int64(209))",Silver,36.5,12912
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0068.jpg,"(np.int64(31), np.int64(38), np.int64(47))",Black,32.5,15317
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0069.jpg,"(np.int64(176), np.int64(191), np.int64(211))",Silver,29.0,14588
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0070.jpg,"(np.int64(40), np.int64(38), np.int64(35))",Black,40.2,2811
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0071.jpg,"(np.int64(46), np.int64(24), np.int64(23))",Black,49.1,2682
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0072.jpg,"(np.int64(46), np.int64(37), np.int64(40))",Black,40.2,3921
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0073.jpg,"(np.int64(195), np.int64(191), np.int64(181))",Silver,34.2,4489
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0074.jpg,"(np.int64(189), np.int64(187), np.int64(176))",Silver,54.1,6462
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0075.jpg,"(np.int64(27), np.int64(30), np.int64(38))",Black,49.0,8445
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0076.jpg,"(np.int64(28), np.int64(29), np.int64(36))",Black,52.5,10960
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0077.jpg,"(np.int64(28), np.int64(28), np.int64(36))",Black,72.3,9836
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0078.jpg,"(np.int64(40), np.int64(36), np.int64(36))",Black,50.6,3262
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0079.jpg,"(np.int64(53), np.int64(38), np.int64(37))",Black,42.7,3669
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0080.jpg,"(np.int64(38), np.int64(34), np.int64(35))",Black,48.3,3654
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0081.jpg,"(np.int64(169), np.int64(159), np.int64(159))",Silver,38.9,4085
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0082.jpg,"(np.int64(37), np.int64(38), np.int64(43))",Black,47.6,10487
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0083.jpg,"(np.int64(32), np.int64(29), np.int64(36))",Black,43.6,9975
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0084.jpg,"(np.int64(38), np.int64(38), np.int64(43))",Black,56.3,8323
1시리즈_F20_2013_2015,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2013_2015\1시리즈_F20_2013_2015_0085.jpg,"(np.int64(32), np.int64(28), np.int64(34))",Black,53.4,9659
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0000.jpg,"(np.int64(143), np.int64(152), np.int64(160))",Silver,30.3,7669
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0001.jpg,"(np.int64(31), np.int64(35), np.int64(42))",Black,33.6,6538
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0002.jpg,"(np.int64(34), np.int64(38), np.int64(45))",Black,33.3,5969
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0003.jpg,"(np.int64(56), np.int64(18), np.int64(17))",Black,55.4,14224
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0004.jpg,"(np.int64(46), np.int64(41), np.int64(41))",Black,60.7,3792
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0005.jpg,"(np.int64(44), np.int64(40), np.int64(40))",Black,55.9,3852
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0006.jpg,"(np.int64(31), np.int64(28), np.int64(37))",Black,63.2,7171
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0007.jpg,"(np.int64(31), np.int64(28), np.int64(37))",Black,70.6,13258
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0008.jpg,"(np.int64(35), np.int64(34), np.int64(35))",Black,64.9,664
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0009.jpg,"(np.int64(33), np.int64(24), np.int64(27))",Black,72.6,2303
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0010.jpg,"(np.int64(43), np.int64(40), np.int64(38))",Black,47.7,1250
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0011.jpg,"(np.int64(32), np.int64(22), np.int64(25))",Black,68.8,2624
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0012.jpg,"(np.int64(29), np.int64(35), np.int64(41))",Black,45.2,6188
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0013.jpg,"(np.int64(43), np.int64(42), np.int64(46))",Black,74.7,5546
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0014.jpg,"(np.int64(25), np.int64(22), np.int64(37))",Black,44.3,14059
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0015.jpg,"(np.int64(26), np.int64(28), np.int64(42))",Black,44.3,11239
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0016.jpg,"(np.int64(138), np.int64(138), np.int64(145))",Gray,45.4,8401
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0017.jpg,"(np.int64(49), np.int64(29), np.int64(34))",Black,47.4,2821
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0018.jpg,"(np.int64(53), np.int64(15), np.int64(16))",Black,43.7,2557
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0019.jpg,"(np.int64(32), np.int64(32), np.int64(37))",Black,53.1,5389
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0020.jpg,"(np.int64(162), np.int64(162), np.int64(174))",Silver,39.6,5751
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0021.jpg,"(np.int64(159), np.int64(163), np.int64(173))",Silver,33.0,13294
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0022.jpg,"(np.int64(196), np.int64(197), np.int64(209))",Silver,51.3,3075
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0023.jpg,"(np.int64(29), np.int64(28), np.int64(36))",Black,59.6,5559
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0024.jpg,"(np.int64(44), np.int64(24), np.int64(31))",Black,27.8,7391
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0025.jpg,"(np.int64(30), np.int64(31), np.int64(40))",Black,59.3,10155
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0026.jpg,"(np.int64(171), np.int64(180), np.int64(184))",Silver,69.1,9360
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0027.jpg,"(np.int64(35), np.int64(35), np.int64(40))",Black,62.4,5019
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0028.jpg,"(np.int64(32), np.int64(28), np.int64(39))",Black,31.3,15468
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0029.jpg,"(np.int64(37), np.int64(34), np.int64(45))",Black,59.3,15497
1시리즈_F20_2016_2019,C:\Users\tjdwn\OneDrive\Desktop\hectoData\open\train\1시리즈_F20_2016_2019\1시리즈_F20_2016_2019_0030.jpg,"(np.int64(29), np.int64(29), np.int64(33))",Black,71.5,4138
