,Black,Blue,Gray,Green,Orange,Pink,Purple,Red,Silver,White,Yellow
스팅어_마이스터_2021_2023,78,0,4,0,0,0,0,3,0,3,0
시에나_4세대_2021_2024,55,0,4,0,0,0,0,0,26,3,0
싼타페_MX5_2024_2025,51,0,3,0,0,0,2,0,23,9,0
싼타페_더_프라임_2016_2018,65,0,6,0,0,0,0,0,11,6,0
아반떼_하이브리드_CN7_2021_2023,67,0,9,0,0,0,1,0,9,2,0
아이오닉5_2022_2023,61,0,16,0,0,0,0,0,9,2,0
알티마_2017_2018,55,0,9,0,0,0,2,0,17,5,0
엑센트_신형_2011_2019,35,0,26,0,0,0,0,4,15,8,0
올_뉴_K7_하이브리드_2017_2019,81,0,1,0,0,0,0,0,5,1,0
올_뉴_말리부_2017_2018,66,0,10,0,0,0,0,0,8,4,0
올_뉴_모닝_JA_2017_2020,42,0,10,0,0,1,1,2,31,1,0
익스플로러_2016_2017,69,0,2,0,0,0,0,0,8,9,0
일렉트리파이드_GV70_2022_2024,71,0,3,0,0,0,0,0,5,9,0
체로키_KL_2019_2023,80,0,0,0,0,0,1,1,4,2,0
콰트로포르테_2014_2016,50,0,13,0,0,0,1,0,14,10,0
쿠퍼_컨트리맨_2012_2015,46,1,8,0,2,0,1,9,19,2,0
쿠퍼_클럽맨_2016_2024,69,0,8,0,0,0,1,3,7,0,0
티구안_올스페이스_2018_2023,57,0,8,0,0,0,0,0,17,6,0
티볼리_에어_2016_2019,54,0,8,0,0,0,1,1,20,4,0
파사트_GT_B8_2018_2022,44,0,8,0,0,0,0,0,23,13,0
파일럿_3세대_2016_2018,76,0,5,0,0,0,0,0,6,1,0
2시리즈_그란쿠페_F44_2020_2024,67,1,9,0,0,0,3,0,7,0,0
3008_2세대_2018_2023,76,0,0,0,0,0,0,0,11,0,0
3시리즈_G20_2019_2022,58,0,7,0,0,0,1,0,13,8,0
3시리즈_G20_2023_2025,60,0,9,0,2,0,4,0,10,2,0
5시리즈_F10_2010_2016,54,0,19,0,1,0,2,0,8,3,0
5시리즈_G30_2017_2023,64,0,11,0,0,0,0,0,12,0,0
6시리즈_GT_G32_2018_2020,59,0,14,0,0,0,0,0,10,4,0
6시리즈_GT_G32_2021_2024,64,1,6,0,0,0,1,0,11,4,0
7시리즈_F01_2009_2015,54,0,25,0,0,0,1,0,7,0,0
A7_2012_2016,55,0,16,0,0,0,4,0,9,3,0
A7_4K_2020_2024,40,0,7,0,0,0,0,2,25,13,0
CLS_클래스_W218_2012_2017,59,3,13,0,0,0,0,0,10,2,0
CT6_2016_2018,75,0,6,0,0,0,2,0,4,0,0
C_클래스_W205_2015_2021,54,1,8,0,0,0,1,0,14,9,0
C_클래스_W206_2022_2024,64,0,6,0,0,0,1,0,5,11,0
E_PACE_2018_2020,59,0,4,0,0,0,2,0,14,8,0
E_클래스_W213_2017_2020,57,0,11,0,0,0,0,0,12,7,0
G4_렉스턴_2018_2020,74,0,5,0,0,0,0,0,7,1,0
GLA_클래스_X156_2015_2019,67,0,4,0,0,0,2,2,5,7,0
GV80_2024_2025,70,0,3,0,0,0,1,0,13,0,0
K5_2세대_2016_2018,63,0,4,0,0,0,0,0,17,3,0
K5_하이브리드_3세대_2020_2023,74,0,2,0,0,0,0,0,9,2,0
Q30_2017_2019,74,0,8,0,0,0,0,0,5,0,0
Q50_2014_2017,54,0,15,0,0,0,1,0,16,1,0
Q8_4M_2020_2025,63,0,11,0,0,0,1,0,11,1,0
S90_2017_2020,61,0,16,0,0,0,1,0,8,1,0
X4_G02_2019_2021,63,0,4,0,0,0,0,2,15,3,0
골프_7세대_2013_2016,33,0,10,0,0,0,6,0,26,12,0
그랜드_스타렉스_2016_2018,34,0,16,0,19,0,4,0,10,0,4
뉴_A6_2012_2014,51,0,13,0,0,0,1,0,15,7,0
뉴_A6_2015_2018,51,0,8,0,0,0,0,0,23,5,0
뉴_카이엔_2011_2018,59,0,7,0,0,0,1,0,17,3,0
더_뉴_K5_하이브리드_3세대_2023_2025,66,0,7,0,0,0,1,0,10,3,0
더_뉴_렉스턴_스포츠_칸_2021_2025,75,0,4,0,0,0,0,1,6,0,1
더_뉴_모닝_JA_2024_2025,44,0,10,0,0,0,0,2,21,10,0
디_올뉴니로EV_2023_2024,67,1,13,0,0,0,0,0,6,0,0
디_올뉴니로_2022_2025,72,0,8,0,1,0,0,0,6,0,0
레니게이드_2015_2017,60,0,3,0,0,0,1,7,15,1,0
레인지로버_4세대_2018_2022,67,0,2,0,0,0,0,0,7,11,0
몬데오_4세대_2015_2020,47,1,11,0,0,0,0,0,24,4,0
쏘나타_디_엣지_DN8_2024_2025,67,0,3,0,0,0,1,0,11,5,0
아반떼_MD_2011_2014,31,0,18,0,2,0,0,0,24,12,0
아베오_2012_2016,34,0,26,0,1,0,4,5,16,1,0
아슬란_2015_2018,68,0,11,0,0,0,1,0,4,3,0
아테온_2018_2023,47,1,10,0,0,0,0,0,20,9,0
올_뉴_투싼_TL_2016_2018,61,0,7,0,0,0,0,0,9,10,0
캐스퍼_2022_2024,45,0,19,0,0,0,0,2,15,5,1
캠리_XV70_2018_2024,49,0,5,0,0,0,0,0,26,7,0
쿠퍼_컨트리맨_2016_2024,65,1,7,0,0,0,4,1,9,0,0
파나메라_971_2017_2023,66,1,4,0,0,0,2,1,9,4,0
1시리즈_F20_2013_2015,51,1,4,0,0,0,0,1,27,2,0
2008_2015_2017,51,1,3,0,0,0,0,1,29,1,0
5시리즈_GT_F07_2010_2017,63,0,16,0,0,0,2,0,4,1,0
6시리즈_F12_2011_2018,44,2,18,0,0,0,1,0,14,7,0
7시리즈_G11_2016_2018,72,0,7,0,0,0,0,0,5,2,0
C_클래스_W204_2008_2015,55,0,13,0,0,0,0,1,15,2,0
EQ900_2016_2018,77,0,2,0,0,0,0,0,3,4,0
e_트론_2020_2023,63,0,8,0,2,0,5,0,5,3,0
F_PACE_2017_2019,64,0,6,0,0,0,0,0,11,5,0
GLB_클래스_X247_2020_2023,66,1,5,0,1,0,0,0,4,9,0
GLC_클래스_X254_2023_2025,48,0,7,0,1,0,2,0,17,11,0
G_클래스_W463_2009_2017,74,0,3,0,0,0,0,0,7,2,0
M5_F90_2018_2023,75,0,3,0,0,0,1,0,3,4,0
QX60_2016_2018,66,0,11,0,0,0,0,0,8,1,0
SM5_노바_2015_2019,54,0,13,0,0,0,3,0,13,3,0
X3_G01_2022_2024,62,0,9,0,0,0,1,0,11,3,0
X6_G06_2020_2023,71,0,2,0,0,0,0,0,8,5,0
X6_G06_2024_2025,64,0,5,0,1,0,0,0,15,1,0
XJ_8세대_2010_2019,55,2,14,0,0,0,3,0,12,0,0
Z4_G29_2019_2025,38,2,11,0,0,0,6,9,7,13,0
뉴_ES300h_2013_2015,51,0,11,0,0,1,2,0,18,3,0
뉴_SM5_임프레션_2008_2010,45,0,27,0,1,0,2,0,10,1,0
더_기아_레이_EV_2024_2025,43,1,24,0,1,0,3,0,14,0,0
더_뉴_말리부_2019_2022,67,0,7,0,0,0,1,0,9,2,0
더_뉴_스파크_2019_2022,57,1,7,0,0,0,0,0,17,4,0
더_뉴_아반떼_AD_2019_2020,46,0,3,0,0,0,3,0,19,15,0
더_뉴_투싼_NX4_2023_2025,68,0,2,0,0,0,0,0,13,3,0
더_뉴스포티지R_2014_2016,73,0,9,0,0,0,1,0,2,1,0
더_올뉴투싼_하이브리드_2021_2023,66,0,14,0,1,0,1,0,3,1,0
레인지로버_이보크_2016_2019,75,0,4,0,0,0,0,0,5,2,0
렉스턴_스포츠_칸_2019_2020,70,0,6,0,0,0,1,4,5,0,0
마칸_2014_2018,69,0,3,0,0,0,0,0,13,1,0
아이오닉6_2023_2025,60,0,5,0,0,0,0,0,9,12,0
에쿠스_신형_2010_2015,67,0,15,0,0,0,1,0,3,0,0
올_뉴_K7_2016_2019,70,0,1,0,0,0,1,0,12,2,0
타이칸_2021_2025,34,1,10,0,0,0,7,4,21,9,0
티볼리_아머_2018_2019,60,0,4,0,0,0,1,5,16,0,0
파나메라_2010_2016,66,0,3,0,0,0,1,0,10,6,0
프리우스_C_2018_2020,45,9,6,0,11,0,0,0,9,1,5
718_박스터_2017_2024,32,1,12,0,0,1,0,7,14,5,13
8시리즈_G15_2020_2024,54,2,7,0,0,0,1,2,16,3,0
A8_D5_2018_2023,72,0,5,0,0,0,3,0,3,2,0
A_클래스_W177_2020_2025,58,0,7,0,0,0,0,0,14,6,0
EQA_H243_2021_2024,64,0,12,0,0,0,1,0,6,2,0
E_클래스_W212_2010_2016,44,1,20,0,0,0,1,0,14,5,0
G90_RS4_2022_2025,76,0,3,0,0,0,0,0,6,0,0
GLC_클래스_X253_2020_2022,65,0,7,0,0,0,1,0,6,6,0
New_XF_2012_2015,37,0,10,0,0,0,0,1,26,11,0
SM7_뉴아트_2008_2011,58,0,17,0,1,0,0,0,8,0,1
S_클래스_W223_2021_2025,74,0,4,0,2,0,2,0,2,1,0
V60_크로스컨트리_2세대_2020_2025,62,0,11,0,0,0,0,0,8,4,0
V90_크로스컨트리_2018_2024,57,0,2,0,0,0,0,0,17,9,0
X1_U11_2023_2024,67,2,6,0,0,0,1,0,9,0,0
X5_G05_2019_2023,68,0,4,0,0,0,0,0,13,0,0
XC40_2019_2022,50,0,17,0,0,0,3,0,12,3,0
그랑_콜레오스_2025,70,0,7,0,0,0,0,0,6,2,0
뉴_ES300h_2016_2018,69,0,9,0,0,0,1,0,5,1,0
뉴_체어맨_W_2012_2016,73,0,11,0,0,0,1,0,0,0,0
뉴쏘렌토_R_2013_2014,56,0,18,0,2,0,3,0,5,1,0
디스커버리_4_2010_2016,62,0,6,0,0,0,1,0,10,6,0
디스커버리_5_2017_2020,69,0,2,0,0,0,0,1,8,5,0
디스커버리_5_2022_2024,64,0,4,0,0,0,0,0,7,10,0
레니게이드_2019_2023,68,0,3,0,0,0,2,4,7,1,0
레인지로버_스포츠_2세대_2018_2022,33,1,5,0,0,0,0,0,41,5,0
모하비_더_마스터_2020_2024,81,0,0,0,1,0,0,0,2,1,0
쏘렌토_4세대_2021_2023,72,0,1,0,0,0,1,0,6,5,0
어코드_10세대_2018_2022,67,0,11,0,0,0,0,0,4,3,0
에비에이터_2세대_2020_2025,67,0,8,0,0,0,0,1,9,0,0
에스컬레이드_2015_2020,74,0,6,0,0,0,0,0,5,0,0
올란도_2012_2018,55,0,9,0,0,0,0,0,18,3,0
익스플로러_6세대_2020_2025,69,0,1,0,0,0,0,0,11,4,0
코세어_2020_2022,52,0,15,0,0,0,0,0,17,1,0
콜로라도_2020_2020,70,0,3,0,0,0,3,0,9,0,0
4시리즈_G22_2021_2023,69,0,8,0,0,1,1,0,5,0,0
5시리즈_G60_2024_2025,51,2,13,0,0,0,2,0,15,1,0
718_카이맨_2017_2024,32,2,3,0,0,0,1,16,5,8,17
7시리즈_G70_2023_2025,49,1,18,0,0,0,1,0,9,6,0
AMG_GT_2016_2024,61,0,8,0,0,0,4,4,6,1,0
CLE_클래스_C236_2024_2025,58,1,11,0,1,0,0,0,8,5,0
ES300h_7세대_2019_2026,49,0,22,0,0,0,2,0,11,0,0
E_클래스_W213_2021_2023,59,0,10,0,0,0,0,0,9,6,0
GLC_클래스_X253_2023,71,0,4,0,0,0,1,0,8,0,0
GV70_2021_2023,60,0,3,0,0,0,0,0,15,6,0
GV80_2020_2022,66,0,6,0,0,0,0,0,10,2,0
S60_3세대_2020_2024,55,0,6,0,0,0,0,0,20,3,0
SM6_2016_2020,49,0,14,0,0,1,1,0,17,2,0
UX250h_2019_2024,58,0,4,0,0,0,0,1,20,1,0
X4_F26_2015_2018,51,0,6,0,0,0,2,0,15,10,0
X4_G02_2022_2025,61,2,7,0,0,0,0,0,8,6,0
X7_G07_2019_2022,60,0,8,0,0,0,0,0,14,2,0
YF쏘나타_2009_2012,47,0,25,0,1,0,1,0,10,0,0
그랜드_체로키_WL_2021_2023,67,0,5,0,0,0,0,0,9,3,0
그랜저_HG_2011_2014,59,1,9,0,0,0,3,0,10,2,0
넥쏘_2018_2024,56,0,7,0,0,0,0,0,10,11,0
뉴_GV80_2024_2025,61,0,16,0,2,0,1,0,4,0,0
뉴_MKZ_2017_2020,54,0,3,0,0,0,8,0,13,6,0
뉴_QM5_2012_2014,57,0,13,0,3,0,0,0,11,0,0
뉴_제타_2011_2016,36,1,11,0,0,0,1,0,21,14,0
뉴_티구안_2012_2016,45,0,10,0,0,0,0,0,25,4,0
더_뉴_K3_2016_2018,57,0,5,0,0,0,1,0,15,6,0
더_뉴_K5_2세대_2019_2020,60,0,7,0,0,0,0,0,9,8,0
더_뉴_K5_3세대_2024_2025,63,0,4,0,0,0,0,0,13,4,0
더_뉴_모닝_2015_2016,46,0,13,0,1,0,1,0,19,4,0
더_뉴_셀토스_2023_2025,69,1,1,0,0,0,0,0,8,4,1
더_뉴_싼타페_2021_2023,62,0,2,0,0,0,0,1,8,11,0
더_뉴_코나_2021_2023,60,0,3,0,0,0,3,7,4,7,0
더_뉴_팰리세이드_2023_2024,68,0,0,0,0,0,0,0,10,6,0
디_올_뉴_니로_2022_2025,53,0,5,0,0,0,2,0,13,11,0
디_올뉴그랜저_2023_2025,65,0,13,0,0,0,1,0,4,0,1
디_올뉴코나_2023_2025,56,2,12,0,0,0,2,0,9,3,0
디스커버리_스포츠_2세대_2020_2025,52,0,5,0,0,0,0,0,17,10,0
레인지로버_이보크_2세대_2023_2024,44,0,15,0,0,0,0,0,9,16,0
박스터_718_2017_2024,38,2,16,1,2,1,2,10,8,2,2
셀토스_2020_2023,70,0,3,0,0,0,1,0,8,2,0
스포티지_4세대_2016_2018,56,0,8,0,0,1,0,0,12,7,0
스포티지_5세대_2022_2024,70,0,1,0,0,0,0,0,7,6,0
쏘나타_DN8_2020_2023,65,0,3,0,1,0,0,1,7,7,0
아반떼_AD_2016_2018,35,0,14,0,0,0,0,0,29,6,0
아반떼_CN7_2021_2023,55,0,13,0,0,0,1,0,9,6,0
아반떼_N_2022_2023,62,1,11,0,0,0,7,0,1,2,0
액티언_2세대_2025,50,0,0,0,5,0,0,0,26,3,0
에스컬레이드_5세대_2021_2024,67,0,4,0,0,0,1,0,8,4,0
올_뉴_모닝_2012_2015,41,0,18,0,0,0,1,3,13,7,1
올_뉴_카니발_2015_2019,61,0,7,0,0,0,0,0,15,1,0
익스플로러_2018_2019,63,0,7,0,0,0,0,0,7,7,0
제네시스_DH_2014_2016,70,0,8,0,0,0,0,0,5,1,0
카니발_4세대_2021,69,0,0,0,0,0,0,0,8,7,0
카이엔_PO536_2019_2023,59,0,6,0,0,0,0,0,14,5,0
컨티넨탈_10세대_2017_2019,76,0,7,0,0,0,0,0,0,1,0
컨티넨탈_GT_3세대_2018_2023,68,0,6,0,0,0,1,0,8,1,0
쿠퍼_컨버터블_2016_2024,58,5,7,0,0,0,1,2,8,1,2
1시리즈_F20_2016_2019,55,0,10,0,0,0,0,0,16,2,0
911_992_2020_2024,47,1,2,0,0,0,3,5,12,1,12
A4_B9_2016_2019,53,0,5,0,0,0,1,0,16,8,0
A6_C8_2019_2025,49,0,5,0,0,0,1,0,19,9,0
K7_프리미어_2020_2021,66,0,5,0,0,0,0,0,6,6,0
Q5_FY_2021_2024,52,0,6,0,0,0,0,0,13,12,0
Q7_4M_2020_2023,49,1,7,0,0,0,0,0,20,6,0
QM3_2014_2017,60,0,6,0,0,0,0,2,14,1,0
S_클래스_W221_2006_2013,48,0,28,0,0,1,2,0,4,0,0
X3_G01_2018_2021,65,0,7,0,0,0,1,0,7,3,0
X5_G05_2024_2025,52,2,9,0,0,0,2,0,10,8,0
X7_G07_2023_2025,50,1,5,0,0,0,3,0,19,5,0
XF_X260_2016_2020,53,0,7,0,0,0,0,0,14,9,0
기블리_2014_2023,61,0,1,0,0,2,1,0,14,4,0
더_넥스트_스파크_2016_2018,54,0,10,0,0,0,2,0,11,6,0
더_뉴_그랜드_스타렉스_2018_2021,34,0,12,0,22,0,0,0,3,5,7
더_뉴_카니발_2019_2020,66,0,7,0,0,0,0,0,8,2,0
더_올뉴G80_2021_2024,69,0,9,0,0,0,1,0,3,1,0
디_올뉴싼타페_2024_2025,67,0,8,0,1,0,1,1,5,0,0
라브4_5세대_2019_2024,61,0,14,0,1,0,1,0,6,0,0
랭글러_JL_2018_2024,70,0,2,0,0,0,1,5,4,1,0
싼타페_TM_2019_2020,70,0,3,0,0,0,0,0,3,7,0
컴패스_2세대_2018_2022,72,2,2,0,0,0,0,3,3,1,0
코나_SX2_2023_2025,53,1,9,0,0,0,0,0,12,8,0
투싼_NX4_2021_2023,69,0,0,0,0,0,0,0,6,8,0
팰리세이드_2019_2022,71,0,1,0,0,0,0,0,6,5,0
5008_2세대_2021_2024,58,2,2,0,0,0,0,0,20,0,0
911_2003_2019,42,0,14,1,0,1,0,5,10,2,7
G_클래스_W463b_2019_2025,53,0,7,0,0,0,1,0,18,3,0
i30_PD_2017_2018,45,0,2,0,0,0,2,4,22,7,0
K5_3세대_2020_2023,64,0,3,0,1,0,1,0,9,4,0
QM6_2017_2019,53,0,5,0,0,0,0,0,21,3,0
S90_2021_2025,56,0,11,0,2,0,0,0,12,1,0
X1_F48_2020_2022,68,1,2,0,0,0,0,0,4,7,0
뉴_G80_2025_2026,67,0,7,0,0,0,2,1,5,0,0
더_뉴_쏘렌토_4세대_2024_2025,68,0,0,0,0,0,0,0,9,5,0
레인지로버_5세대_2023_2024,47,0,14,0,0,0,3,0,13,5,0
올_뉴_카마로_2017_2018,45,0,3,0,0,0,0,16,0,0,18
카니발_4세대_2022_2023,66,0,2,0,0,0,0,0,5,9,0
GLA_클래스_H247_2020_2025,71,0,4,0,0,0,1,0,5,0,0
V40_2015_2018,50,0,13,0,0,0,3,0,13,2,0
X2_F39_2018_2023,48,0,8,0,6,0,3,0,4,12,0
XC60_2세대_2022_2025,51,0,8,0,0,0,0,0,18,4,0
그랜드_체로키_2014_2020,63,1,2,0,0,0,0,0,15,0,0
더_뉴_그랜저_IG_2020_2023,65,0,6,0,0,0,1,0,8,1,0
더_뉴_기아_레이_2022_2025,42,0,13,0,0,0,0,0,23,3,0
더_뉴_모하비_2017_2019,74,0,6,0,0,0,0,0,1,0,0
랭글러_JK_2009_2017,67,2,5,0,1,0,2,1,3,0,0
베리_뉴_티볼리_2020_2023,56,0,9,0,0,0,1,1,13,1,0
쏘나타_뉴_라이즈_2018_2019,62,0,6,0,0,0,0,1,6,6,0
올_뉴_K3_2019_2021,61,0,3,0,0,0,0,2,11,4,0
올_뉴_투싼_TL_2019_2020,51,0,7,0,0,0,0,0,15,8,0
트래버스_2020_2023,67,0,1,0,0,0,0,5,6,2,0
2시리즈_액티브_투어러_U06_2022_2024,41,0,18,0,0,0,3,0,14,4,0
5008_2세대_2018_2019,71,0,0,0,0,0,0,0,7,2,0
A_클래스_W176_2015_2018,58,2,9,0,0,0,4,0,5,2,0
EQE_V295_2022_2024,53,0,2,0,1,0,0,0,12,12,0
E_클래스_W214_2024_2025,47,0,15,0,1,0,0,0,13,4,0
F150_2004_2021,62,0,8,0,0,0,3,0,7,0,0
G80_2017_2020,71,0,0,0,0,0,0,0,5,4,0
G80_RG3_2021_2023,66,0,9,0,0,0,0,0,2,3,0
GLE_클래스_W167_2019_2024,60,0,2,0,0,0,0,0,12,6,0
K3_2013_2015,64,0,4,0,0,0,1,0,9,2,0
K8_2022_2024,69,0,5,0,0,0,0,0,5,1,0
K8_하이브리드_2022_2024,64,0,5,0,0,0,0,0,7,4,0
MKC_2015_2018,56,0,2,0,0,0,0,0,14,8,0
Q3_F3_2020_2024,41,0,4,0,0,0,4,0,22,9,0
SM3_네오_2015_2019,56,0,16,0,0,0,1,0,6,1,0
XM3_2020_2023,54,0,8,0,0,0,0,1,10,7,0
XM3_2024,70,0,1,0,0,0,0,0,9,0,0
그랜저_HG_2015_2017,61,0,6,0,0,0,2,0,9,2,0
그랜저_IG_2017_2019,67,0,6,0,0,0,0,0,3,4,0
글래디에이터_JT_2020_2023,59,1,2,0,0,0,3,2,9,2,2
뉴QM3_2018_2019,53,0,4,0,0,0,1,7,12,3,0
더_뉴_G70_2021_2025,53,0,7,0,0,0,2,1,11,6,0
더_뉴_QM6_2020_2023,51,0,9,0,0,0,1,0,18,1,0
더_뉴_아이오닉_하이브리드_2020,55,0,5,0,0,0,0,0,15,5,0
더_뉴_트랙스_2017_2022,59,0,5,0,0,0,2,1,9,4,0
마칸_2019_2021,61,0,4,0,0,0,0,3,11,1,0
임팔라_2016_2019,57,0,17,0,0,0,0,0,4,2,0
트랙스_2013_2016,68,0,2,0,0,1,0,3,6,0,0
티볼리_2015_2018,59,0,6,0,0,0,0,2,12,1,0
프리우스_4세대_2016_2018,47,0,4,0,0,0,0,0,18,11,0
1시리즈_F40_2020_2024,64,0,5,1,1,0,3,0,2,2,1
GLS_클래스_X167_2020_2024,60,0,12,0,0,0,0,0,6,1,0
그랜저TG_2007_2008,45,4,21,0,0,0,3,0,4,2,0
더_뉴_카니발_4세대_2024_2025,57,0,6,0,0,0,0,0,15,1,0
올_뉴_렉스턴_2021_2025,72,0,2,0,0,0,0,0,4,1,0
컨티넨탈_GT_2세대_2012_2017,54,1,7,0,0,0,0,0,14,3,0
투아렉_3세대_2020_2023,62,0,3,0,0,0,0,0,10,4,0
트레일블레이저_2021_2022,63,5,1,0,0,0,0,1,7,2,0
A4_B9_2020_2024,40,0,8,0,0,0,0,0,20,10,0
EQS_V297_2022_2023,53,0,6,0,0,0,2,0,9,8,0
니로_2017_2019,65,0,4,0,0,0,0,0,8,1,0
더_뉴_K3_2세대_2022_2024,50,0,3,0,0,0,1,0,17,7,0
더_뉴_QM6_2024_2025,66,0,3,0,0,0,0,0,6,3,0
더_뉴_아반떼_2014_2016,40,1,10,0,0,0,10,0,10,7,0
베뉴_2020_2024,57,0,7,0,0,0,0,5,6,3,0
스포티지_더_볼드_2019_2022,61,0,3,0,0,0,0,0,7,7,0
코나_2018_2020,61,1,2,0,0,0,2,0,6,6,0
4시리즈_G22_2024_2025,37,0,15,0,0,0,5,0,14,6,0
G70_2018_2020,55,0,7,0,0,0,0,1,10,4,0
G90_2019_2022,71,0,3,0,0,0,0,0,2,1,0
M4_F82_2015_2020,44,0,4,0,3,0,2,5,5,1,13
XC90_2세대_2020_2025,58,0,7,0,0,0,1,0,11,0,0
그랜드카니발_2006_2010,31,1,23,0,0,0,0,1,21,0,0
벨로스터_JS_2018_2020,17,0,6,0,3,0,1,35,4,8,3
올_뉴_쏘렌토_2015_2017,62,1,5,0,0,0,0,0,4,5,0
콰트로포르테_2017_2022,60,0,2,0,0,0,4,0,10,1,0
i4_2022_2024,58,0,7,0,0,1,2,0,6,2,0
iX_2022_2024,46,6,5,0,0,2,2,2,12,1,0
LF_쏘나타_2015_2017,49,0,15,0,0,0,1,0,9,2,0
뉴_CC_2012_2016,42,0,16,0,2,0,1,0,14,1,0
더_뉴_맥스크루즈_2016_2018,54,0,7,0,0,0,3,0,8,4,0
렉스턴_스포츠_2018_2021,61,0,5,0,0,0,0,3,5,2,0
더_뉴_K9_2세대_2022_2025,62,0,7,0,0,0,1,0,3,2,0
스토닉_2018_2020,48,0,5,0,0,0,0,5,12,3,2
팰리세이드_LX3_2025,58,0,0,0,0,0,0,0,5,12,0
리얼_뉴_콜로라도_2021_2022,66,0,1,0,0,0,0,2,4,1,0
말리부_2012_2016,47,0,6,0,0,0,0,0,21,0,0
스파크_2012_2015,39,1,8,0,0,0,4,11,9,2,0
