클래스명,총_이미지수,처리율(%),주요_색상,Gray_비율(%),Black_비율(%),White_비율(%),Silver_비율(%),Blue_비율(%),Red_비율(%),Purple_비율(%),Yellow_비율(%),Orange_비율(%),Green_비율(%),Pink_비율(%)
718_박스터_2017_2024,85,100.0,Black,14.1,37.6,5.9,16.5,1.2,8.2,,15.3,,,1.2
718_카이맨_2017_2024,84,100.0,Black,3.6,38.1,9.5,6.0,2.4,19.0,1.2,20.2,,,
7시리즈_F01_2009_2015,87,100.0,Black,28.7,62.1,,8.0,,,1.1,,,,
7시리즈_G11_2016_2018,86,100.0,Black,8.1,83.7,2.3,5.8,,,,,,,
7시리즈_G11_2019_2022,88,100.0,Black,10.2,81.8,1.1,6.8,,,,,,,
7시리즈_G70_2023_2025,84,100.0,Black,21.4,58.3,7.1,10.7,1.2,,1.2,,,,
8시리즈_G15_2020_2024,85,100.0,Black,8.2,63.5,3.5,18.8,2.4,2.4,1.2,,,,
911_2003_2019,82,100.0,Black,17.1,51.2,2.4,12.2,,6.1,,8.5,,1.2,1.2
911_992_2020_2024,83,98.8,Black,2.4,56.6,1.2,14.5,1.2,6.0,3.6,14.5,,,
A4_B9_2016_2019,83,100.0,Black,6.0,63.9,9.6,19.3,,,1.2,,,,
A4_B9_2020_2024,78,100.0,Black,10.3,51.3,12.8,25.6,,,,,,,
A5_F5_2019_2024,88,100.0,Black,4.5,48.9,19.3,26.1,,,1.1,,,,
A6_C8_2019_2025,83,100.0,Black,6.0,59.0,10.8,22.9,,,1.2,,,,
A7_2012_2016,87,100.0,Black,18.4,63.2,3.4,10.3,,,4.6,,,,
A7_4K_2020_2024,87,100.0,Black,8.0,46.0,14.9,28.7,,2.3,,,,,
A8_D5_2018_2023,85,100.0,Black,5.9,84.7,2.4,3.5,,,3.5,,,,
All_New_XJ_2016_2019,88,100.0,Black,1.1,45.5,13.6,39.8,,,,,,,
AMG_GT_2016_2024,84,100.0,Black,9.5,72.6,1.2,7.1,,4.8,4.8,,,,
A_클래스_W176_2015_2018,80,100.0,Black,11.2,72.5,2.5,6.2,2.5,,5.0,,,,
A_클래스_W177_2020_2025,85,100.0,Black,8.2,68.2,7.1,16.5,,,,,,,
B_클래스_W246_2013_2018,88,100.0,Black,18.2,64.8,,15.9,,,1.1,,,,
CLA_클래스_C117_2014_2019,88,100.0,Black,10.2,72.7,3.4,10.2,2.3,1.1,,,,,
CLA_클래스_C118_2020_2025,88,100.0,Black,2.3,71.6,6.8,15.9,1.1,,,2.3,,,
CLE_클래스_C236_2024_2025,84,100.0,Black,13.1,69.0,6.0,9.5,1.2,,,,1.2,,
CLS_클래스_C257_2019_2023,88,100.0,Black,15.9,63.6,4.5,14.8,,,1.1,,,,
CLS_클래스_W218_2012_2017,87,100.0,Black,14.9,67.8,2.3,11.5,3.4,,,,,,
CT6_2016_2018,87,100.0,Black,6.9,86.2,,4.6,,,2.3,,,,
C_클래스_W204_2008_2015,86,98.9,Black,15.1,64.0,2.3,17.4,,1.2,,,,,
C_클래스_W205_2015_2021,87,100.0,Black,9.2,62.1,10.3,16.1,1.1,,1.1,,,,
C_클래스_W206_2022_2024,87,100.0,Black,6.9,73.6,12.6,5.7,,,1.1,,,,
EQ900_2016_2018,86,100.0,Black,2.3,89.5,4.7,3.5,,,,,,,
EQA_H243_2021_2024,85,100.0,Black,14.1,75.3,2.4,7.1,,,1.2,,,,
EQE_V295_2022_2024,80,100.0,Black,2.5,66.2,15.0,15.0,,,,,1.2,,
EQS_V297_2022_2023,78,100.0,Black,7.7,67.9,10.3,11.5,,,2.6,,,,
ES300h_7세대_2019_2026,84,100.0,Black,26.2,58.3,,13.1,,,2.4,,,,
EV6_2022_2024,88,100.0,Black,1.1,84.1,6.8,6.8,,,1.1,,,,
EV9_2024_2025,88,100.0,Black,4.5,70.5,5.7,17.0,,,2.3,,,,
E_PACE_2018_2020,87,100.0,Black,4.6,67.8,9.2,16.1,,,2.3,,,,
E_클래스_W212_2010_2016,85,100.0,Black,23.5,51.8,5.9,16.5,1.2,,1.2,,,,
E_클래스_W213_2017_2020,87,100.0,Black,12.6,65.5,8.0,13.8,,,,,,,
E_클래스_W213_2021_2023,84,100.0,Black,11.9,70.2,7.1,10.7,,,,,,,
E_클래스_W214_2024_2025,80,100.0,Black,18.8,58.8,5.0,16.2,,,,,1.2,,
e_트론_2020_2023,86,100.0,Black,9.3,73.3,3.5,5.8,,,5.8,,2.3,,
F150_2004_2021,80,98.8,Black,10.0,77.5,,8.8,,,3.8,,,,
F_PACE_2017_2019,86,100.0,Black,7.0,74.4,5.8,12.8,,,,,,,
G4_렉스턴_2018_2020,87,100.0,Black,5.7,85.1,1.1,8.0,,,,,,,
G70_2018_2020,77,100.0,Black,9.1,71.4,5.2,13.0,,1.3,,,,,
G80_2017_2020,80,100.0,Black,,88.8,5.0,6.2,,,,,,,
G80_RG3_2021_2023,80,100.0,Black,11.2,82.5,3.8,2.5,,,,,,,
G80_RG3_2025,88,100.0,Black,4.5,85.2,,9.1,,,,,,,1.1
G90_2019_2022,77,100.0,Black,3.9,92.2,1.3,2.6,,,,,,,
G90_RS4_2022_2025,85,100.0,Black,3.5,89.4,,7.1,,,,,,,
GLA_클래스_H247_2020_2025,81,100.0,Black,4.9,87.7,,6.2,,,1.2,,,,
GLA_클래스_X156_2015_2019,87,100.0,Black,4.6,77.0,8.0,5.7,,2.3,2.3,,,,
GLB_클래스_X247_2020_2023,86,100.0,Black,5.8,76.7,10.5,4.7,1.2,,,,1.2,,
GLC_클래스_X253_2017_2019,88,100.0,Black,5.7,75.0,5.7,12.5,,1.1,,,,,
GLC_클래스_X253_2020_2022,85,100.0,Black,8.2,76.5,7.1,7.1,,,1.2,,,,
GLC_클래스_X253_2023,84,100.0,Black,4.8,84.5,,9.5,,,1.2,,,,
GLC_클래스_X254_2023_2025,86,100.0,Black,8.1,55.8,12.8,19.8,,,2.3,,1.2,,
GLE_클래스_W166_2016_2018,88,100.0,Black,6.8,65.9,9.1,15.9,,,2.3,,,,
GLE_클래스_W167_2019_2024,80,98.8,Black,2.5,75.0,7.5,15.0,,,,,,,
GLS_클래스_X166_2017_2019,88,100.0,Black,9.1,78.4,2.3,10.2,,,,,,,
GLS_클래스_X167_2020_2024,79,100.0,Black,15.2,75.9,1.3,7.6,,,,,,,
GV70_2021_2023,84,100.0,Black,3.6,71.4,7.1,17.9,,,,,,,
GV80_2020_2022,84,100.0,Black,7.1,78.6,2.4,11.9,,,,,,,
GV80_2024_2025,87,100.0,Black,3.4,80.5,,14.9,,,1.1,,,,
G_클래스_W463b_2019_2025,82,100.0,Black,8.5,64.6,3.7,22.0,,,1.2,,,,
G_클래스_W463_2009_2017,86,100.0,Black,3.5,86.0,2.3,8.1,,,,,,,
i30_PD_2017_2018,82,100.0,Black,2.4,54.9,8.5,26.8,,4.9,2.4,,,,
i4_2022_2024,76,100.0,Black,9.2,76.3,2.6,7.9,,,2.6,,,,1.3
iX_2022_2024,76,100.0,Black,6.6,60.5,1.3,15.8,7.9,2.6,2.6,,,,2.6
K3_2013_2015,80,100.0,Black,5.0,80.0,2.5,11.2,,,1.2,,,,
K5_2세대_2016_2018,87,100.0,Black,4.6,72.4,3.4,19.5,,,,,,,
K5_3세대_2020_2023,82,100.0,Black,3.7,78.0,4.9,11.0,,,1.2,,1.2,,
K5_3세대_하이브리드_2020_2022,57,100.0,Black,,96.5,,3.5,,,,,,,
K5_하이브리드_3세대_2020_2023,87,100.0,Black,2.3,85.1,2.3,10.3,,,,,,,
K7_프리미어_2020_2021,83,100.0,Black,6.0,79.5,7.2,7.2,,,,,,,
K7_프리미어_하이브리드_2020_2021,88,100.0,Black,3.4,89.8,,6.8,,,,,,,
K8_2022_2024,80,100.0,Black,6.2,86.2,1.2,6.2,,,,,,,
K8_하이브리드_2022_2024,80,100.0,Black,6.2,80.0,5.0,8.8,,,,,,,
LF_쏘나타_2015_2017,76,100.0,Black,19.7,64.5,2.6,11.8,,,1.3,,,,
M2_F87_2016_2021,88,100.0,Black,5.7,50.0,,14.8,11.4,,18.2,,,,
M4_F82_2015_2020,77,100.0,Black,5.2,57.1,1.3,6.5,,6.5,2.6,16.9,3.9,,
M5_F90_2018_2023,86,100.0,Black,3.5,87.2,4.7,3.5,,,1.2,,,,
MKC_2015_2018,80,100.0,Black,2.5,70.0,10.0,17.5,,,,,,,
New_XF_2012_2015,85,100.0,Black,11.8,43.5,12.9,30.6,,1.2,,,,,
Q30_2017_2019,87,98.9,Black,9.2,85.1,,5.7,,,,,,,
Q3_F3_2020_2024,80,100.0,Black,5.0,51.2,11.2,27.5,,,5.0,,,,
Q50_2014_2017,87,100.0,Black,17.2,62.1,1.1,18.4,,,1.1,,,,
Q5_FY_2020,88,100.0,Black,10.2,68.2,1.1,18.2,2.3,,,,,,
Q5_FY_2021_2024,83,100.0,Black,7.2,62.7,14.5,15.7,,,,,,,
Q7_4M_2016_2019,88,100.0,Black,10.2,67.0,2.3,18.2,,,2.3,,,,
Q7_4M_2020_2023,83,100.0,Black,8.4,59.0,7.2,24.1,1.2,,,,,,
Q8_4M_2020_2025,87,100.0,Black,12.6,72.4,1.1,12.6,,,1.1,,,,
QM3_2014_2017,83,100.0,Black,7.2,72.3,1.2,16.9,,2.4,,,,,
QM6_2017_2019,82,100.0,Black,6.1,64.6,3.7,25.6,,,,,,,
QX60_2016_2018,86,100.0,Black,12.8,76.7,1.2,9.3,,,,,,,
RAV4_2016_2018,72,100.0,Black,2.8,83.3,2.8,11.1,,,,,,,
RAV4_5세대_2019_2024,88,100.0,Black,8.0,85.2,,6.8,,,,,,,
S60_3세대_2020_2024,84,100.0,Black,7.1,65.5,3.6,23.8,,,,,,,
S90_2017_2020,87,100.0,Black,18.4,70.1,1.1,9.2,,,1.1,,,,
S90_2021_2025,82,100.0,Black,13.4,68.3,1.2,14.6,,,,,2.4,,
SM3_네오_2015_2019,80,100.0,Black,20.0,70.0,1.2,7.5,,,1.2,,,,
SM5_노바_2015_2019,86,100.0,Black,15.1,62.8,3.5,15.1,,,3.5,,,,
SM6_2016_2020,84,100.0,Black,16.7,58.3,2.4,20.2,,,1.2,,,,1.2
SM7_노바_2015_2019,88,100.0,Black,9.1,76.1,3.4,9.1,,,2.3,,,,
SM7_뉴아트_2008_2011,85,98.8,Black,20.0,68.2,,9.4,,,,1.2,1.2,,
S_클래스_W221_2006_2013,83,100.0,Black,33.7,57.8,,4.8,,,2.4,,,,1.2
S_클래스_W222_2014_2020,88,100.0,Black,13.6,77.3,2.3,3.4,,,3.4,,,,
S_클래스_W223_2021_2025,85,100.0,Black,4.7,87.1,1.2,2.4,,,2.4,,2.4,,
UX250h_2019_2024,84,100.0,Black,4.8,69.0,1.2,23.8,,1.2,,,,,
V40_2015_2018,81,100.0,Black,16.0,61.7,2.5,16.0,,,3.7,,,,
V60_크로스컨트리_2세대_2020_2025,85,100.0,Black,12.9,72.9,4.7,9.4,,,,,,,
V90_크로스컨트리_2018_2024,85,100.0,Black,2.4,67.1,10.6,20.0,,,,,,,
X1_F48_2016_2019,88,100.0,Black,8.0,77.3,1.1,12.5,,,1.1,,,,
X1_F48_2020_2022,82,100.0,Black,2.4,82.9,8.5,4.9,1.2,,,,,,
X1_U11_2023_2024,85,100.0,Black,7.1,78.8,,10.6,2.4,,1.2,,,,
X2_F39_2018_2023,81,100.0,Black,9.9,59.3,14.8,4.9,,,3.7,,7.4,,
X3_G01_2018_2021,83,100.0,Black,8.4,78.3,3.6,8.4,,,1.2,,,,
X3_G01_2022_2024,86,100.0,Black,10.5,72.1,3.5,12.8,,,1.2,,,,
X4_F26_2015_2018,84,100.0,Black,7.1,60.7,11.9,17.9,,,2.4,,,,
X4_G02_2019_2021,87,100.0,Black,4.6,72.4,3.4,17.2,,2.3,,,,,
X4_G02_2022_2025,84,100.0,Black,8.3,72.6,7.1,9.5,2.4,,,,,,
X5_F15_2014_2018,88,100.0,Black,14.8,65.9,1.1,15.9,,,2.3,,,,
X5_G05_2019_2023,85,100.0,Black,4.7,80.0,,15.3,,,,,,,
X5_G05_2024_2025,83,100.0,Black,10.8,62.7,9.6,12.0,2.4,,2.4,,,,
X6_F16_2015_2019,88,100.0,Black,6.8,83.0,2.3,8.0,,,,,,,
X6_G06_2020_2023,86,100.0,Black,2.3,82.6,5.8,9.3,,,,,,,
X6_G06_2024_2025,86,100.0,Black,5.8,74.4,1.2,17.4,,,,,1.2,,
X7_G07_2019_2022,84,100.0,Black,9.5,71.4,2.4,16.7,,,,,,,
X7_G07_2023_2025,83,100.0,Black,6.0,60.2,6.0,22.9,1.2,,3.6,,,,
XC40_2019_2022,85,100.0,Black,20.0,58.8,3.5,14.1,,,3.5,,,,
XC60_2세대_2018_2021,88,100.0,Black,6.8,55.7,4.5,33.0,,,,,,,
XC60_2세대_2022_2025,81,100.0,Black,9.9,63.0,4.9,22.2,,,,,,,
XC90_2세대_2017_2019,88,100.0,Black,15.9,65.9,4.5,13.6,,,,,,,
XC90_2세대_2020_2025,77,100.0,Black,9.1,75.3,,14.3,,,1.3,,,,
XE_2016_2019,88,100.0,Black,,63.6,15.9,17.0,,3.4,,,,,
XF_X260_2016_2020,83,98.8,Black,8.4,63.9,10.8,16.9,,,,,,,
XJ_8세대_2010_2019,86,97.7,Black,16.3,64.0,,14.0,2.3,,3.5,,,,
XM3_2020_2023,80,100.0,Black,10.0,67.5,8.8,12.5,,1.2,,,,,
XM3_2024,80,100.0,Black,1.2,87.5,,11.2,,,,,,,
YF쏘나타_2009_2012,84,100.0,Black,29.8,56.0,,11.9,,,1.2,,1.2,,
YF쏘나타_하이브리드_2011_2015,88,100.0,Black,28.4,51.1,2.3,11.4,1.1,,2.3,,3.4,,
Z4_G29_2019_2025,86,100.0,Black,12.8,44.2,15.1,8.1,2.3,10.5,7.0,,,,
골프_7세대_2013_2016,87,100.0,Black,11.5,37.9,13.8,29.9,,,6.9,,,,
그랑_콜레오스_2025,85,100.0,Black,8.2,82.4,2.4,7.1,,,,,,,
그랜드_스타렉스_2016_2018,87,100.0,Black,18.4,39.1,,11.5,,,4.6,4.6,21.8,,
그랜드_체로키_2014_2020,81,100.0,Black,2.5,77.8,,18.5,1.2,,,,,,
그랜드_체로키_WL_2021_2023,84,100.0,Black,6.0,79.8,3.6,10.7,,,,,,,
그랜드카니발_2006_2010,77,100.0,Black,29.9,40.3,,27.3,1.3,1.3,,,,,
그랜저TG_2007_2008,79,97.5,Black,26.6,57.0,2.5,5.1,5.1,,3.8,,,,
그랜저_GN7_2023_2025,72,100.0,Black,9.7,70.8,6.9,12.5,,,,,,,
그랜저_HG_2011_2014,84,100.0,Black,10.7,70.2,2.4,11.9,1.2,,3.6,,,,
그랜저_HG_2015_2017,80,100.0,Black,7.5,76.2,2.5,11.2,,,2.5,,,,
그랜저_IG_2017_2019,80,100.0,Black,7.5,83.8,5.0,3.8,,,,,,,
글래디에이터_JT_2020_2023,80,100.0,Black,2.5,73.8,2.5,11.2,1.2,2.5,3.8,2.5,,,
기블리_2014_2023,83,100.0,Black,1.2,73.5,4.8,16.9,,,1.2,,,,2.4
넥쏘_2018_2024,84,100.0,Black,8.3,66.7,13.1,11.9,,,,,,,
뉴QM3_2018_2019,80,100.0,Black,5.0,66.2,3.8,15.0,,8.8,1.2,,,,
뉴_A6_2012_2014,87,98.9,Black,14.9,58.6,8.0,17.2,,,1.1,,,,
뉴_A6_2015_2018,87,100.0,Black,9.2,58.6,5.7,26.4,,,,,,,
뉴_CC_2012_2016,76,100.0,Black,21.1,55.3,1.3,18.4,,,1.3,,2.6,,
뉴_ES300h_2013_2015,86,100.0,Black,12.8,59.3,3.5,20.9,,,2.3,,,,1.2
뉴_ES300h_2016_2018,85,100.0,Black,10.6,81.2,1.2,5.9,,,1.2,,,,
뉴_G80_2025_2026,82,100.0,Black,8.5,81.7,,6.1,,1.2,2.4,,,,
뉴_GV80_2024_2025,84,97.7,Black,19.0,72.6,,4.8,,,1.2,,2.4,,
뉴_MKZ_2017_2020,84,100.0,Black,3.6,64.3,7.1,15.5,,,9.5,,,,
뉴_QM5_2012_2014,84,100.0,Black,15.5,67.9,,13.1,,,,,3.6,,
뉴_QM6_2021_2023,59,100.0,Black,10.2,83.1,,6.8,,,,,,,
뉴_SM5_임프레션_2008_2010,86,98.9,Black,31.4,52.3,1.2,11.6,,,2.3,,1.2,,
뉴_SM5_플래티넘_2013_2014,88,100.0,Black,22.7,54.5,1.1,13.6,1.1,,4.5,,2.3,,
뉴_스타일_코란도_C_2017_2019,73,100.0,Black,6.8,82.2,1.4,9.6,,,,,,,
뉴_제타_2011_2016,84,100.0,Black,13.1,42.9,16.7,25.0,1.2,,1.2,,,,
뉴_체어맨_W_2012_2016,85,98.8,Black,12.9,85.9,,,,,1.2,,,,
뉴_카이엔_2011_2018,87,100.0,Black,8.0,67.8,3.4,19.5,,,1.1,,,,
뉴_티구안_2012_2016,84,100.0,Black,11.9,53.6,4.8,29.8,,,,,,,
뉴쏘렌토_R_2013_2014,85,98.8,Black,21.2,65.9,1.2,5.9,,,3.5,,2.4,,
니로_2017_2019,78,100.0,Black,5.1,83.3,1.3,10.3,,,,,,,
더_K9_2019_2021,88,100.0,Black,3.4,86.4,4.5,5.7,,,,,,,
더_기아_레이_EV_2024_2025,86,97.7,Black,27.9,50.0,,16.3,1.2,,3.5,,1.2,,
더_넥스트_스파크_2016_2018,83,100.0,Black,12.0,65.1,7.2,13.3,,,2.4,,,,
더_뉴_G70_2021_2025,80,100.0,Black,8.8,66.2,7.5,13.8,,1.2,2.5,,,,
더_뉴_K3_2016_2018,84,100.0,Black,6.0,67.9,7.1,17.9,,,1.2,,,,
더_뉴_K3_2세대_2022_2024,78,100.0,Black,3.8,64.1,9.0,21.8,,,1.3,,,,
더_뉴_K5_2세대_2019_2020,84,100.0,Black,8.3,71.4,9.5,10.7,,,,,,,
더_뉴_K5_3세대_2024_2025,84,100.0,Black,4.8,75.0,4.8,15.5,,,,,,,
더_뉴_K5_하이브리드_3세대_2023_2025,87,100.0,Black,8.0,75.9,3.4,11.5,,,1.1,,,,
더_뉴_K7_2013_2016,70,100.0,Black,32.9,61.4,,1.4,,,4.3,,,,
더_뉴_K9_2세대_2022_2025,75,100.0,Black,9.3,82.7,2.7,4.0,,,1.3,,,,
더_뉴_QM6_2020_2023,80,100.0,Black,11.2,63.7,1.2,22.5,,,1.2,,,,
더_뉴_QM6_2024_2025,78,100.0,Black,3.8,84.6,3.8,7.7,,,,,,,
더_뉴_SM6_2021_2024,88,100.0,Black,9.1,78.4,5.7,6.8,,,,,,,
더_뉴_그랜드_스타렉스_2018_2021,83,98.8,Black,14.5,41.0,6.0,3.6,,,,8.4,26.5,,
더_뉴_그랜저_IG_2020_2023,81,100.0,Black,7.4,80.2,1.2,9.9,,,1.2,,,,
더_뉴_기아_레이_2022_2025,81,100.0,Black,16.0,51.9,3.7,28.4,,,,,,,
더_뉴_니로_2020_2022,88,100.0,Black,9.1,77.3,1.1,12.5,,,,,,,
더_뉴_레이_2018_2022,88,100.0,Black,25.0,34.1,5.7,30.7,3.4,,1.1,,,,
더_뉴_렉스턴_스포츠_2021_2025,88,100.0,Black,3.4,85.2,,9.1,,1.1,,,,,1.1
더_뉴_렉스턴_스포츠_칸_2021_2025,87,100.0,Black,4.6,86.2,,6.9,,1.1,,1.1,,,
더_뉴_말리부_2019_2022,86,100.0,Black,8.1,77.9,2.3,10.5,,,1.2,,,,
더_뉴_맥스크루즈_2016_2018,76,100.0,Black,9.2,71.1,5.3,10.5,,,3.9,,,,
더_뉴_모닝_2015_2016,84,100.0,Black,15.5,54.8,4.8,22.6,,,1.2,,1.2,,
더_뉴_모닝_JA_2024_2025,87,100.0,Black,11.5,50.6,11.5,24.1,,2.3,,,,,
더_뉴_모하비_2017_2019,81,100.0,Black,7.4,91.4,,1.2,,,,,,,
더_뉴_셀토스_2023_2025,84,100.0,Black,1.2,82.1,4.8,9.5,1.2,,,1.2,,,
더_뉴_스파크_2019_2022,86,100.0,Black,8.1,66.3,4.7,19.8,1.2,,,,,,
더_뉴_싼타페_2021_2023,84,100.0,Black,2.4,73.8,13.1,9.5,,1.2,,,,,
더_뉴_쏘렌토_2018_2020,88,100.0,Black,5.7,80.7,4.5,9.1,,,,,,,
더_뉴_쏘렌토_4세대_2024_2025,82,100.0,Black,,82.9,6.1,11.0,,,,,,,
더_뉴_아반떼_2014_2016,78,100.0,Black,12.8,51.3,9.0,12.8,1.3,,12.8,,,,
더_뉴_아반떼_AD_2019_2020,86,100.0,Black,3.5,53.5,17.4,22.1,,,3.5,,,,
더_뉴_아반떼_CN7_2023_2025,88,100.0,Black,9.1,60.2,15.9,9.1,,,5.7,,,,
더_뉴_아이오닉_하이브리드_2020,80,100.0,Black,6.2,68.8,6.2,18.8,,,,,,,
더_뉴_카니발_2019_2020,83,100.0,Black,8.4,79.5,2.4,9.6,,,,,,,
더_뉴_카니발_4세대_2024_2025,79,100.0,Black,7.6,72.2,1.3,19.0,,,,,,,
더_뉴_코나_2021_2023,84,100.0,Black,3.6,71.4,8.3,4.8,,8.3,3.6,,,,
더_뉴_코란도_스포츠_2016_2018,72,100.0,Black,15.3,62.5,5.6,13.9,1.4,1.4,,,,,
더_뉴_투싼_NX4_2023_2025,86,100.0,Black,2.3,79.1,3.5,15.1,,,,,,,
더_뉴_트랙스_2017_2022,80,100.0,Black,6.2,73.8,5.0,11.2,,1.2,2.5,,,,
더_뉴_파사트_2012_2019,88,100.0,Black,18.2,50.0,2.3,26.1,,,3.4,,,,
더_뉴_팰리세이드_2023_2024,84,100.0,Black,,81.0,7.1,11.9,,,,,,,
더_뉴스포티지R_2014_2016,86,97.7,Black,10.5,84.9,1.2,2.3,,,1.2,,,,
더_올뉴G80_2021_2024,83,96.5,Black,10.8,83.1,1.2,3.6,,,1.2,,,,
더_올뉴투싼_하이브리드_2021_2023,86,97.7,Black,16.3,76.7,1.2,3.5,,,1.2,,1.2,,
디_올_뉴_니로_2022_2025,84,100.0,Black,6.0,63.1,13.1,15.5,,,2.4,,,,
디_올_뉴_스포티지_2022_2024,60,100.0,Black,5.0,93.3,,1.7,,,,,,,
디_올뉴그랜저_2023_2025,84,96.6,Black,15.5,77.4,,4.8,,,1.2,1.2,,,
디_올뉴니로EV_2023_2024,87,100.0,Black,14.9,77.0,,6.9,1.1,,,,,,
디_올뉴니로_2022_2025,87,100.0,Black,9.2,82.8,,6.9,,,,,1.1,,
디_올뉴싼타페_2024_2025,83,96.5,Black,9.6,80.7,,6.0,,1.2,1.2,,1.2,,
디_올뉴코나_2023_2025,84,96.6,Black,14.3,66.7,3.6,10.7,2.4,,2.4,,,,
디스커버리_4_2010_2016,85,100.0,Black,7.1,72.9,7.1,11.8,,,1.2,,,,
디스커버리_5_2017_2020,85,100.0,Black,2.4,81.2,5.9,9.4,,1.2,,,,,
디스커버리_5_2022_2024,85,100.0,Black,4.7,75.3,11.8,8.2,,,,,,,
디스커버리_스포츠_2015_2019,88,100.0,Black,,78.4,3.4,15.9,,,,1.1,1.1,,
디스커버리_스포츠_2세대_2020_2025,84,100.0,Black,6.0,61.9,11.9,20.2,,,,,,,
디펜더_L663_2020_2025,88,100.0,Black,9.1,71.6,8.0,6.8,,,4.5,,,,
라브4_4세대_2013_2018,88,100.0,Black,12.5,80.7,,4.5,,,2.3,,,,
라브4_5세대_2019_2024,83,97.6,Black,16.9,73.5,,7.2,,,1.2,,1.2,,
랭글러_JK_2009_2017,81,100.0,Black,6.2,82.7,,3.7,2.5,1.2,2.5,,1.2,,
랭글러_JL_2018_2024,83,100.0,Black,2.4,84.3,1.2,4.8,,6.0,1.2,,,,
레니게이드_2015_2017,87,100.0,Black,3.4,69.0,1.1,17.2,,8.0,1.1,,,,
레니게이드_2019_2023,85,100.0,Black,3.5,80.0,1.2,8.2,,4.7,2.4,,,,
레이_2012_2017,88,100.0,Black,17.0,39.8,1.1,35.2,3.4,,3.4,,,,
레인지로버_4세대_2014_2017,88,100.0,Black,5.7,81.8,,9.1,1.1,,2.3,,,,
레인지로버_4세대_2018_2022,87,100.0,Black,2.3,77.0,12.6,8.0,,,,,,,
레인지로버_5세대_2023_2024,82,100.0,Black,17.1,57.3,6.1,15.9,,,3.7,,,,
레인지로버_벨라_2018_2019,88,100.0,Black,1.1,71.6,4.5,21.6,,,1.1,,,,
레인지로버_스포츠_2세대_2013_2017,88,100.0,Black,6.8,67.0,5.7,18.2,1.1,,1.1,,,,
레인지로버_스포츠_2세대_2018_2022,85,100.0,Silver,5.9,38.8,5.9,48.2,1.2,,,,,,
레인지로버_이보크_2016_2019,86,100.0,Black,4.7,87.2,2.3,5.8,,,,,,,
레인지로버_이보크_2세대_2020_2022,88,100.0,Black,11.4,56.8,10.2,21.6,,,,,,,
레인지로버_이보크_2세대_2023_2024,84,100.0,Black,17.9,52.4,19.0,10.7,,,,,,,
렉스턴_스포츠_2018_2021,76,100.0,Black,6.6,80.3,2.6,6.6,,3.9,,,,,
